Time,Seed,Demand,Alpha,Scenario,ComputationTime
0,0,demand_1.25x,1.0,S1,0.0722528001060709
0,0,demand_1.25x,0.5,S2,0.0743989000329747
1,0,demand_1.25x,1.0,S1,0.0860767000121995
1,0,demand_1.25x,0.5,S2,0.0981123999226838
2,0,demand_1.25x,1.0,S1,0.1039738999679684
2,0,demand_1.25x,0.5,S2,0.1256256001070141
3,0,demand_1.25x,1.0,S1,0.1199628999456763
3,0,demand_1.25x,0.5,S2,0.1516883999574929
3,0,demand_1.25x,1.0,S1,0.153777299914509
3,0,demand_1.25x,0.5,S2,0.1632963999873027
4,0,demand_1.25x,1.0,S1,0.1593337000813335
4,0,demand_1.25x,0.5,S2,0.2122085000155493
5,0,demand_1.25x,1.0,S1,0.1729488000273704
5,0,demand_1.25x,0.5,S2,0.2388900000369176
6,0,demand_1.25x,1.0,S1,0.200264299986884
6,0,demand_1.25x,0.5,S2,0.2976543999975547
7,0,demand_1.25x,1.0,S1,0.2651778999716043
7,0,demand_1.25x,0.5,S2,0.3663373000454157
7,0,demand_1.25x,1.0,S1,0.2468752999557182
7,0,demand_1.25x,0.5,S2,0.4698565999278798
8,0,demand_1.25x,1.0,S1,0.3131122000049799
8,0,demand_1.25x,0.5,S2,0.5327985000330955
9,0,demand_1.25x,1.0,S1,0.4644047999754548
9,0,demand_1.25x,0.5,S2,0.7265489998972043
10,0,demand_1.25x,1.0,S1,0.3744674000190571
10,0,demand_1.25x,0.5,S2,0.7014700999716297
11,0,demand_1.25x,1.0,S1,0.4846572000533342
11,0,demand_1.25x,0.5,S2,0.7391295999987051
11,0,demand_1.25x,1.0,S1,0.6146452999673784
11,0,demand_1.25x,0.5,S2,0.9307639999315144
12,0,demand_1.25x,1.0,S1,0.9326622999506072
12,0,demand_1.25x,0.5,S2,1.0027094000251964
13,0,demand_1.25x,1.0,S1,0.9390758000081404
13,0,demand_1.25x,0.5,S2,1.023079900071025
14,0,demand_1.25x,1.0,S1,0.9846943999873474
14,0,demand_1.25x,0.5,S2,1.012940000044182
15,0,demand_1.25x,1.0,S1,0.8680522999493405
15,0,demand_1.25x,0.5,S2,1.007264000014402
15,0,demand_1.25x,1.0,S1,1.0056620000395924
15,0,demand_1.25x,0.5,S2,1.010852299979888
16,0,demand_1.25x,1.0,S1,1.0078727999934929
16,0,demand_1.25x,0.5,S2,1.0132418000139296
17,0,demand_1.25x,1.0,S1,1.0096914999885485
17,0,demand_1.25x,0.5,S2,1.0048035000218078
18,0,demand_1.25x,1.0,S1,1.006220699986443
18,0,demand_1.25x,0.5,S2,1.0173262999160215
19,0,demand_1.25x,1.0,S1,1.0022264000726864
19,0,demand_1.25x,0.5,S2,1.0534159000962973
19,0,demand_1.25x,1.0,S1,1.0066163999726996
19,0,demand_1.25x,0.5,S2,1.0163611999014392
20,0,demand_1.25x,1.0,S1,1.0159182000206783
20,0,demand_1.25x,0.5,S2,1.0103961999993771
21,0,demand_1.25x,1.0,S1,1.021980099962093
21,0,demand_1.25x,0.5,S2,1.0106791999423876
22,0,demand_1.25x,1.0,S1,1.007443199981935
22,0,demand_1.25x,0.5,S2,1.0164614000823349
23,0,demand_1.25x,1.0,S1,1.0052564999787137
23,0,demand_1.25x,0.5,S2,1.037015700014308
23,0,demand_1.25x,1.0,S1,1.0123089000117034
23,0,demand_1.25x,0.5,S2,1.0075918999500573
24,0,demand_1.25x,1.0,S1,1.0218711000634355
24,0,demand_1.25x,0.5,S2,1.0698632000712678
