Time,Seed,Demand,Alpha,Scenario,ComputationTime
0,0,demand_1x,1.0,S1,0.0709138000383973
0,0,demand_1x,0.5,S2,0.0735749999294057
1,0,demand_1x,1.0,S1,0.0854606000939384
1,0,demand_1x,0.5,S2,0.0917958000209182
2,0,demand_1x,1.0,S1,0.1079746999312192
2,0,demand_1x,0.5,S2,0.1104694000678137
3,0,demand_1x,1.0,S1,0.1137449000962078
3,0,demand_1x,0.5,S2,0.1318925999803468
4,0,demand_1x,1.0,S1,0.1001069999765604
4,0,demand_1x,0.5,S2,0.1013187000062316
5,0,demand_1x,1.0,S1,0.148551799939014
5,0,demand_1x,0.5,S2,0.2031549999956041
6,0,demand_1x,1.0,S1,0.1904836000176146
6,0,demand_1x,0.5,S2,0.2543763000285253
7,0,demand_1x,1.0,S1,0.2324410000583157
7,0,demand_1x,0.5,S2,0.2913455000380054
8,0,demand_1x,1.0,S1,0.2959400999825448
8,0,demand_1x,0.5,S2,0.3569336000364274
9,0,demand_1x,1.0,S1,0.2846332000335678
9,0,demand_1x,0.5,S2,0.4500243999063968
10,0,demand_1x,1.0,S1,0.2821808999869972
10,0,demand_1x,0.5,S2,0.4902255000779405
11,0,demand_1x,1.0,S1,0.3991795999463647
11,0,demand_1x,0.5,S2,0.6363804000429809
12,0,demand_1x,1.0,S1,0.4601215999573469
12,0,demand_1x,0.5,S2,0.5741725000552833
13,0,demand_1x,1.0,S1,0.6276985000586137
13,0,demand_1x,0.5,S2,0.8579291000496596
14,0,demand_1x,1.0,S1,0.7518872000509873
14,0,demand_1x,0.5,S2,1.006902400054969
15,0,demand_1x,1.0,S1,0.7709661000408232
15,0,demand_1x,0.5,S2,1.0025838000001386
16,0,demand_1x,1.0,S1,0.9900160999968648
16,0,demand_1x,0.5,S2,1.011579699930735
17,0,demand_1x,1.0,S1,1.0104913000250235
17,0,demand_1x,0.5,S2,1.028484300011769
18,0,demand_1x,1.0,S1,1.009556100005284
18,0,demand_1x,0.5,S2,1.0029330999823287
19,0,demand_1x,1.0,S1,1.0159111999673769
19,0,demand_1x,0.5,S2,1.0143951000645757
20,0,demand_1x,1.0,S1,1.0225328999804333
20,0,demand_1x,0.5,S2,1.0487772999331355
21,0,demand_1x,1.0,S1,1.0275361000094565
21,0,demand_1x,0.5,S2,1.0337364999577403
22,0,demand_1x,1.0,S1,1.011797200073488
22,0,demand_1x,0.5,S2,1.0175358999986202
23,0,demand_1x,1.0,S1,1.0189580000005662
23,0,demand_1x,0.5,S2,1.0233691000612453
24,0,demand_1x,1.0,S1,1.0161624000174925
24,0,demand_1x,0.5,S2,1.0171640999615192
25,0,demand_1x,1.0,S1,1.0217355999629945
25,0,demand_1x,0.5,S2,1.028834500000812
26,0,demand_1x,1.0,S1,1.0099676999961955
26,0,demand_1x,0.5,S2,1.0075876000337305
27,0,demand_1x,1.0,S1,1.0173275000415742
27,0,demand_1x,0.5,S2,1.008018699940294
28,0,demand_1x,1.0,S1,1.047472900012508
28,0,demand_1x,0.5,S2,1.0081399999326095
29,0,demand_1x,1.0,S1,1.029719400103204
29,0,demand_1x,0.5,S2,1.0129533000290394
30,0,demand_1x,1.0,S1,1.012491700006649
30,0,demand_1x,0.5,S2,1.037350200000219
31,0,demand_1x,1.0,S1,1.0023381999926642
31,0,demand_1x,0.5,S2,1.0198170999065042
32,0,demand_1x,1.0,S1,1.0143083999864757
32,0,demand_1x,0.5,S2,1.0321709000272676
33,0,demand_1x,1.0,S1,1.039047300000675
33,0,demand_1x,0.5,S2,1.0048382999375465
34,0,demand_1x,1.0,S1,1.0278420000104234
34,0,demand_1x,0.5,S2,1.0756554999388754
35,0,demand_1x,1.0,S1,1.0074190999148414
35,0,demand_1x,0.5,S2,1.0121580000268295
36,0,demand_1x,1.0,S1,1.0082360000815245
