Time,Seed,Demand,Alpha,Scenario,ComputationTime
1,0,demand_0.5x,1.0,S1,0.0463668999727815
1,0,demand_0.5x,0.0,S2,0.0510856999317184
3,0,demand_0.5x,1.0,S1,0.057701600017026
3,0,demand_0.5x,0.0,S2,0.0639007000718265
5,0,demand_0.5x,1.0,S1,0.0725737999891862
5,0,demand_0.5x,0.0,S2,0.1114713000133633
7,0,demand_0.5x,1.0,S1,0.0880337000126019
7,0,demand_0.5x,0.0,S2,0.1403313000919297
9,0,demand_0.5x,1.0,S1,0.1320915000978857
9,0,demand_0.5x,0.0,S2,0.124553200090304
11,0,demand_0.5x,1.0,S1,0.1402463000267744
11,0,demand_0.5x,0.0,S2,0.1758725999388843
13,0,demand_0.5x,1.0,S1,0.1588093000464141
13,0,demand_0.5x,0.0,S2,0.1590410999488085
15,0,demand_0.5x,1.0,S1,0.1425799001008272
15,0,demand_0.5x,0.0,S2,0.1749569000676274
17,0,demand_0.5x,1.0,S1,0.1714583999710157
17,0,demand_0.5x,0.0,S2,0.2119285999797284
19,0,demand_0.5x,1.0,S1,0.2135691000148654
19,0,demand_0.5x,0.0,S2,0.3323365999385714
21,0,demand_0.5x,1.0,S1,0.2947309000883251
21,0,demand_0.5x,0.0,S2,0.3228777000913396
23,0,demand_0.5x,1.0,S1,0.2261913000838831
23,0,demand_0.5x,0.0,S2,0.2643431999022141
25,0,demand_0.5x,1.0,S1,0.2656828999752179
25,0,demand_0.5x,0.0,S2,0.3534683999605477
27,0,demand_0.5x,1.0,S1,0.2542468999745324
27,0,demand_0.5x,0.0,S2,0.328146000043489
29,0,demand_0.5x,1.0,S1,0.3904363999608904
29,0,demand_0.5x,0.0,S2,0.5467642999719828
31,0,demand_0.5x,1.0,S1,0.3737213999265805
31,0,demand_0.5x,0.0,S2,0.4664471000432968
33,0,demand_0.5x,1.0,S1,0.4077780999941751
33,0,demand_0.5x,0.0,S2,0.5408753000665456
35,0,demand_0.5x,1.0,S1,0.3063232999993488
35,0,demand_0.5x,0.0,S2,0.2654920999193564
37,0,demand_0.5x,1.0,S1,0.2654176999349147
37,0,demand_0.5x,0.0,S2,0.4357644999399781
39,0,demand_0.5x,1.0,S1,0.2861146000213921
39,0,demand_0.5x,0.0,S2,0.292139200028032
41,0,demand_0.5x,1.0,S1,0.2291079999413341
41,0,demand_0.5x,0.0,S2,0.3110055000288412
43,0,demand_0.5x,1.0,S1,0.3059513000771403
43,0,demand_0.5x,0.0,S2,0.383579200017266
45,0,demand_0.5x,1.0,S1,0.3037967999698594
45,0,demand_0.5x,0.0,S2,0.3447657000506297
47,0,demand_0.5x,1.0,S1,0.2674761000089347
47,0,demand_0.5x,0.0,S2,0.4587615999625996
49,0,demand_0.5x,1.0,S1,0.3747204999672249
49,0,demand_0.5x,0.0,S2,0.5150542000774294
51,0,demand_0.5x,1.0,S1,0.3564385999925434
