Time,S1_SumDelay,S1_TailSumDelay,S2_SumDelay,S2_TailSumDelay,S1_Throughput,S1_Queue,S2_Throughput,S2_Queue,Seed
0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,0.0,0.0,0.0,0.0,0,1,0,1,0
2,0.0,0.0,0.0,0.0,0,2,0,2,0
3,0.0,0.0,0.0,0.0,0,3,0,3,0
4,0.0,0.0,0.0,0.0,0,3,0,3,0
5,0.0,0.0,0.0,0.0,0,4,0,4,0
6,0.0,0.0,0.0,0.0,0,5,0,5,0
7,0.0,0.0,0.0,0.0,0,6,0,6,0
8,0.0,0.0,0.0,0.0,0,6,0,6,0
9,0.0,0.0,0.0,0.0,0,6,0,6,0
10,0.0,0.0,0.0,0.0,0,6,0,6,0
11,0.0,0.0,0.0,0.0,0,7,0,7,0
12,0.0,0.0,0.0,0.0,0,6,0,6,0
13,0.0,0.0,0.0,0.0,0,6,0,6,0
14,0.0,0.0,0.0,0.0,0,7,0,7,0
15,0.0,0.0,0.0,0.0,0,7,0,7,0
16,0.0,0.0,0.0,0.0,0,6,0,6,0
17,0.0,0.0,0.0,0.0,0,5,0,5,0
18,0.0,0.0,0.0,0.0,0,6,0,6,0
19,0.0,0.0,0.0,0.0,0,7,0,7,0
20,0.0,0.0,0.0,0.0,0,7,0,7,0
21,0.0,0.0,0.0,0.0,0,8,0,8,0
22,1.5930082585039536,1.5930082585039536,1.5930082585039536,1.5930082585039536,1,9,1,9,0
23,1.5930082585039536,1.5930082585039536,1.5930082585039536,1.5930082585039536,1,8,1,7,0
24,5.763739962404266,3.235320292119944,5.744029946825595,3.2156102765412733,3,7,3,6,0
25,5.763739962404266,3.235320292119944,5.744029946825595,3.2156102765412733,3,7,3,6,0
26,6.16497537247821,3.235320292119944,6.14526535689954,3.2156102765412733,4,6,4,6,0
27,6.16497537247821,3.235320292119944,6.14526535689954,3.2156102765412733,4,7,4,7,0
28,6.16497537247821,3.235320292119944,6.14526535689954,3.2156102765412733,4,7,4,7,0
29,6.16497537247821,3.235320292119944,6.14526535689954,3.2156102765412733,4,7,4,8,0
30,8.650158608106615,3.235320292119944,8.663509563730813,3.2156102765412733,5,8,5,9,0
31,12.966568286375036,4.316409678268421,12.979919241999234,4.316409678268421,6,9,6,10,0
32,12.966568286375036,4.316409678268421,12.979919241999234,4.316409678268421,6,8,6,9,0
33,12.966568286375036,4.316409678268421,12.979919241999234,4.316409678268421,6,8,6,9,0
34,19.59820624194526,10.948047633838645,19.399031114929944,10.735521551199133,7,9,7,10,0
35,19.59820624194526,10.948047633838645,19.399031114929944,10.735521551199133,7,10,7,10,0
36,19.59820624194526,10.948047633838645,19.399031114929944,10.735521551199133,7,10,7,9,0
37,28.05185473136852,14.189560828538257,27.85267960435321,13.977034745898742,9,9,9,9,0
38,28.05185473136852,14.189560828538257,27.85267960435321,13.977034745898742,9,9,9,10,0
39,33.59658130415365,19.223551982935525,33.37785441454107,19.01102590029601,11,10,11,11,0
40,33.59658130415365,19.223551982935525,33.37785441454107,19.01102590029601,11,10,11,10,0
41,33.59658130415365,19.223551982935525,33.37785441454107,19.01102590029601,11,11,11,11,0
42,33.59658130415365,19.223551982935525,33.37785441454107,19.01102590029601,11,10,11,11,0
43,33.59658130415365,19.223551982935525,33.37785441454107,19.01102590029601,11,11,11,12,0
44,33.59658130415365,19.223551982935525,33.37785441454107,19.01102590029601,11,9,11,10,0
45,33.59658130415365,19.223551982935525,33.37785441454107,19.01102590029601,11,10,11,11,0
46,33.59658130415365,19.223551982935525,33.37785441454107,19.01102590029601,11,11,11,12,0
47,33.59658130415365,19.223551982935525,33.37785441454107,19.01102590029601,11,12,11,13,0
48,33.59658130415365,19.223551982935525,33.37785441454107,19.01102590029601,11,10,11,13,0
49,37.124269994741226,19.223551982935525,33.37785441454107,19.01102590029601,12,10,11,12,0
50,37.124269994741226,19.223551982935525,33.37785441454107,19.01102590029601,12,11,11,12,0
51,44.0692597699416,21.134550603738624,33.37785441454107,19.01102590029601,13,11,11,12,0
52,44.0692597699416,21.134550603738624,44.91585760409236,25.51503793545003,13,10,12,11,0
53,44.0692597699416,21.134550603738624,44.91585760409236,25.51503793545003,13,10,12,12,0
54,44.0692597699416,21.134550603738624,44.91585760409236,25.51503793545003,13,10,12,12,0
55,44.0692597699416,21.134550603738624,55.5103750165925,29.69044347501946,13,10,13,10,0
56,44.0692597699416,21.134550603738624,55.5103750165925,29.69044347501946,13,10,13,10,0
57,44.0692597699416,21.134550603738624,55.5103750165925,29.69044347501946,13,11,13,11,0
58,44.0692597699416,21.134550603738624,58.13549447836491,36.10955534795017,13,11,14,12,0
59,60.37885126507349,37.44414209887052,88.00626158290541,52.00328770659192,14,12,16,12,0
60,67.43812999677608,37.87178287500289,102.58130922263622,64.38737132123602,15,11,18,11,0
61,69.97432545725965,37.87178287500289,105.13666193894602,64.38737132123602,16,12,19,12,0
62,75.11227319769105,44.50342083057311,105.13666193894602,64.38737132123602,17,13,19,12,0
63,78.21512546089335,44.50342083057311,105.13666193894602,64.38737132123602,18,13,19,12,0
64,78.21512546089335,44.50342083057311,119.76141797701032,75.64203711270241,18,12,21,11,0
65,103.00075937318324,62.657416787292775,119.76141797701032,75.64203711270241,19,13,21,12,0
66,103.00075937318324,62.657416787292775,119.76141797701032,75.64203711270241,19,14,21,11,0
67,103.00075937318324,62.657416787292775,119.76141797701032,75.64203711270241,19,14,21,11,0
68,103.00075937318324,62.657416787292775,119.76141797701032,75.64203711270241,19,14,21,10,0
69,114.1057455039059,73.76240291801543,121.29916975324664,75.64203711270241,20,14,22,11,0
70,127.711280618351,77.22743103405735,159.32695334749044,101.3250885178784,22,15,25,11,0
71,146.81967591058185,91.46903292665044,174.51418297042738,105.25765234934896,24,15,26,12,0
72,163.2144652363548,100.8045435207208,174.51418297042738,105.25765234934896,25,13,26,11,0
73,206.12306479767923,136.15522020907724,176.0700810839165,116.51231814081537,27,14,27,11,0
74,206.12306479767923,136.15522020907724,176.0700810839165,116.51231814081537,27,15,27,12,0
75,206.12306479767923,136.15522020907724,194.53480602434703,123.72237728977952,27,16,28,13,0
76,216.63786564945124,136.15522020907724,210.8125111582024,128.46207923408355,29,16,29,13,0
77,246.2419040373624,165.75925859698845,224.1896388962493,141.83920697213054,30,17,30,13,0
78,258.6563174279327,167.7636540963165,224.1896388962493,141.83920697213054,31,18,30,14,0
