Time,S1_SumDelay,S1_TailSumDelay,S2_SumDelay,S2_TailSumDelay,S1_Throughput,S1_Queue,S2_Throughput,S2_Queue,Seed
0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,0.0,0.0,0.0,0.0,0,1,0,1,0
2,0.0,0.0,0.0,0.0,0,2,0,2,0
3,0.0,0.0,0.0,0.0,0,3,0,3,0
4,0.0,0.0,0.0,0.0,0,3,0,3,0
5,0.0,0.0,0.0,0.0,0,4,0,4,0
6,0.0,0.0,0.0,0.0,0,5,0,5,0
7,0.0,0.0,0.0,0.0,0,6,0,6,0
8,0.0,0.0,0.0,0.0,0,6,0,6,0
9,0.0,0.0,0.0,0.0,0,5,0,6,0
10,0.0,0.0,0.0,0.0,0,5,0,7,0
11,0.0,0.0,0.0,0.0,0,6,0,6,0
12,0.0,0.0,0.0,0.0,0,6,0,6,0
13,0.0,0.0,0.0,0.0,0,7,0,6,0
14,1.852839678425017,1.852839678425017,0.0,0.0,1,8,0,7,0
15,1.852839678425017,1.852839678425017,0.0,0.0,1,6,0,6,0
16,1.852839678425017,1.852839678425017,3.852839678425017,3.852839678425017,1,6,1,6,0
17,1.852839678425017,1.852839678425017,3.852839678425017,3.852839678425017,1,7,1,7,0
18,1.852839678425017,1.852839678425017,3.852839678425017,3.852839678425017,1,7,1,7,0
19,1.852839678425017,1.852839678425017,3.852839678425017,3.852839678425017,1,7,1,8,0
20,1.852839678425017,1.852839678425017,3.852839678425017,3.852839678425017,1,7,1,8,0
21,2.4707993610710237,1.852839678425017,3.852839678425017,3.852839678425017,2,8,1,9,0
22,2.4707993610710237,1.852839678425017,6.152923389498632,3.852839678425017,2,8,2,9,0
23,5.998980200218014,3.528180839146991,6.152923389498632,3.852839678425017,3,9,2,10,0
24,9.167385167637471,3.528180839146991,9.592342107439176,3.852839678425017,5,9,4,10,0
25,9.167385167637471,3.528180839146991,13.84402821308058,4.251686105641404,5,9,5,10,0
26,9.167385167637471,3.528180839146991,13.84402821308058,4.251686105641404,5,10,5,11,0
27,9.167385167637471,3.528180839146991,13.84402821308058,4.251686105641404,5,10,5,10,0
28,9.167385167637471,3.528180839146991,13.84402821308058,4.251686105641404,5,9,5,10,0
29,9.167385167637471,3.528180839146991,13.84402821308058,4.251686105641404,5,10,5,11,0
30,9.167385167637471,3.528180839146991,13.84402821308058,4.251686105641404,5,11,5,12,0
31,9.167385167637471,3.528180839146991,13.84402821308058,4.251686105641404,5,11,5,13,0
32,9.167385167637471,3.528180839146991,14.22950635367761,4.251686105641404,5,11,6,13,0
33,9.167385167637471,3.528180839146991,14.22950635367761,4.251686105641404,5,11,6,13,0
34,9.167385167637471,3.528180839146991,14.22950635367761,4.251686105641404,5,12,6,14,0
35,9.167385167637471,3.528180839146991,14.22950635367761,4.251686105641404,5,13,6,14,0
36,23.1667292362645,13.999344068627028,23.74450131676964,13.76668106873343,7,12,7,13,0
37,23.1667292362645,13.999344068627028,23.74450131676964,13.76668106873343,7,11,7,14,0
38,23.1667292362645,13.999344068627028,23.74450131676964,13.76668106873343,7,11,7,15,0
39,26.27668825243969,13.999344068627028,25.12177524827593,13.76668106873343,9,12,8,15,0
40,26.27668825243969,13.999344068627028,25.12177524827593,13.76668106873343,9,11,8,14,0
41,26.27668825243969,13.999344068627028,25.12177524827593,13.76668106873343,9,11,8,15,0
42,27.3997896441959,17.52752490777402,25.12177524827593,13.76668106873343,10,10,8,14,0
43,27.3997896441959,17.52752490777402,25.12177524827593,13.76668106873343,10,9,8,11,0
44,27.3997896441959,17.52752490777402,25.12177524827593,13.76668106873343,10,9,8,11,0
45,27.3997896441959,17.52752490777402,25.12177524827593,13.76668106873343,10,9,8,11,0
46,27.3997896441959,17.52752490777402,25.12177524827593,13.76668106873343,10,9,8,11,0
47,27.3997896441959,17.52752490777402,34.94425877479162,19.337478489607715,10,10,9,12,0
48,27.3997896441959,17.52752490777402,34.94425877479162,19.337478489607715,10,8,9,11,0
49,27.3997896441959,17.52752490777402,34.94425877479162,19.337478489607715,10,9,9,10,0
50,29.932111709674068,17.52752490777402,34.94425877479162,19.337478489607715,11,10,9,10,0
51,36.55838112594384,20.43969202259176,34.94425877479162,19.337478489607715,13,11,9,11,0
52,56.58370202416425,35.17732965219102,34.94425877479162,19.337478489607715,17,11,9,10,0
53,56.58370202416425,35.17732965219102,43.05806662165086,27.451286336466957,17,12,10,11,0
54,57.085958542460176,35.17732965219102,43.05806662165086,27.451286336466957,18,13,10,11,0
55,68.30996031824331,41.185414057943206,43.05806662165086,27.451286336466957,19,14,10,12,0
56,68.30996031824331,41.185414057943206,83.2374569309313,40.17939030928045,19,12,13,12,0
57,68.30996031824331,41.185414057943206,94.65082636838648,51.59275974673561,19,13,14,12,0
58,68.30996031824331,41.185414057943206,98.55516047018013,51.59275974673561,19,14,15,13,0
59,68.30996031824331,41.185414057943206,110.40184293649702,52.2460573382329,19,14,16,13,0
60,68.30996031824331,41.185414057943206,124.47389968735054,66.31811408908641,19,14,17,12,0
61,90.67287326178143,57.15940810992668,134.42961320264024,66.31811408908641,21,14,18,13,0
62,90.67287326178143,57.15940810992668,134.42961320264024,66.31811408908641,21,14,18,14,0
63,113.87999150488554,67.33749965265807,158.77290236278307,83.79390585807647,23,14,20,14,0
64,124.81296525705991,76.17232210070435,158.77290236278307,83.79390585807647,25,13,20,14,0
65,124.81296525705991,76.17232210070435,177.34097634300073,90.948610400839,25,12,21,14,0
66,124.81296525705991,76.17232210070435,177.34097634300073,90.948610400839,25,12,21,15,0
67,124.81296525705991,76.17232210070435,177.34097634300073,90.948610400839,25,12,21,16,0
68,124.81296525705991,76.17232210070435,177.34097634300073,90.948610400839,25,12,21,14,0
69,124.81296525705991,76.17232210070435,192.0790554784766,93.84000706999792,25,13,22,15,0
70,124.81296525705991,76.17232210070435,203.7252686126158,93.84000706999792,25,13,23,15,0
71,134.61103515058417,78.55300137553328,203.7252686126158,93.84000706999792,26,14,23,14,0
72,134.61103515058417,78.55300137553328,203.7252686126158,93.84000706999792,26,14,23,13,0
73,134.61103515058417,78.55300137553328,203.7252686126158,93.84000706999792,26,13,23,14,0
74,134.61103515058417,78.55300137553328,219.91507451543688,110.02981297281904,26,14,24,15,0
75,134.61103515058417,78.55300137553328,243.66640534992783,119.7090870564565,26,14,25,15,0
76,134.61103515058417,78.55300137553328,243.66640534992783,119.7090870564565,26,13,25,13,0
