Time,Seed,Demand,Alpha,Scenario,ComputationTime
1,0,demand_0.75x,1.0,S1,0.0470001000212505
1,0,demand_0.75x,0.8,S2,0.049945899983868
2,0,demand_0.75x,1.0,S1,0.0700323999626562
2,0,demand_0.75x,0.8,S2,0.0957442999351769
3,0,demand_0.75x,1.0,S1,0.1026168999960646
3,0,demand_0.75x,0.8,S2,0.1234760999213904
5,0,demand_0.75x,1.0,S1,0.0944304999429732
5,0,demand_0.75x,0.8,S2,0.0943750999867916
6,0,demand_0.75x,1.0,S1,0.1246073999209329
6,0,demand_0.75x,0.8,S2,0.1053639999590814
7,0,demand_0.75x,1.0,S1,0.1307583999587223
7,0,demand_0.75x,0.8,S2,0.1935843999963253
9,0,demand_0.75x,1.0,S1,0.2029471999267116
9,0,demand_0.75x,0.8,S2,0.1614275000756606
10,0,demand_0.75x,1.0,S1,0.2309568000491708
10,0,demand_0.75x,0.8,S2,0.383679199963808
11,0,demand_0.75x,1.0,S1,0.3102361999917775
11,0,demand_0.75x,0.8,S2,0.479622200015001
13,0,demand_0.75x,1.0,S1,0.3554251999594271
13,0,demand_0.75x,0.8,S2,0.5201327999820933
14,0,demand_0.75x,1.0,S1,0.3653435000451281
14,0,demand_0.75x,0.8,S2,0.3058971998980269
15,0,demand_0.75x,1.0,S1,0.2681015999987721
15,0,demand_0.75x,0.8,S2,0.3837381999474019
17,0,demand_0.75x,1.0,S1,0.2643142000306397
17,0,demand_0.75x,0.8,S2,0.308664400014095
18,0,demand_0.75x,1.0,S1,0.281242600060068
18,0,demand_0.75x,0.8,S2,0.347939100000076
19,0,demand_0.75x,1.0,S1,0.300755999982357
19,0,demand_0.75x,0.8,S2,0.5430237998953089
21,0,demand_0.75x,1.0,S1,0.3807996000396088
21,0,demand_0.75x,0.8,S2,0.6228255999740213
22,0,demand_0.75x,1.0,S1,0.6544142999919131
22,0,demand_0.75x,0.8,S2,0.8052951999707147
23,0,demand_0.75x,1.0,S1,0.6706080000149086
23,0,demand_0.75x,0.8,S2,1.0146135999821126
25,0,demand_0.75x,1.0,S1,0.9030979999806732
25,0,demand_0.75x,0.8,S2,1.0060325999511406
26,0,demand_0.75x,1.0,S1,1.0066313999705017
26,0,demand_0.75x,0.8,S2,1.0068520000204444
27,0,demand_0.75x,1.0,S1,1.0084239999996498
27,0,demand_0.75x,0.8,S2,1.007385000004433
29,0,demand_0.75x,1.0,S1,0.7939540999941528
29,0,demand_0.75x,0.8,S2,1.004745400045067
30,0,demand_0.75x,1.0,S1,0.9726351000135764
30,0,demand_0.75x,0.8,S2,1.0114978000056
31,0,demand_0.75x,1.0,S1,1.010269399965182
31,0,demand_0.75x,0.8,S2,1.0078668999485672
33,0,demand_0.75x,1.0,S1,1.0036311999429015
