Time,Seed,Demand,Alpha,Scenario,ComputationTime
0,0,demand_1.5x,1.0,S1,0.056984500028193
0,0,demand_1.5x,0.8,S2,0.0606329999864101
1,0,demand_1.5x,1.0,S1,0.0585903000319376
1,0,demand_1.5x,0.8,S2,0.0667651999974623
1,0,demand_1.5x,1.0,S1,0.0644636000506579
1,0,demand_1.5x,0.8,S2,0.0734141999855637
2,0,demand_1.5x,1.0,S1,0.0771160000003874
2,0,demand_1.5x,0.8,S2,0.0904257999500259
3,0,demand_1.5x,1.0,S1,0.0880137999774888
3,0,demand_1.5x,0.8,S2,0.1295817999634891
3,0,demand_1.5x,1.0,S1,0.1436673999996855
3,0,demand_1.5x,0.8,S2,0.2150255000451579
4,0,demand_1.5x,1.0,S1,0.1765078000025823
4,0,demand_1.5x,0.8,S2,0.2486873000161722
5,0,demand_1.5x,1.0,S1,0.2029733000090345
5,0,demand_1.5x,0.8,S2,0.3193484999937936
5,0,demand_1.5x,1.0,S1,0.3038264000788331
5,0,demand_1.5x,0.8,S2,0.3252129000611603
6,0,demand_1.5x,1.0,S1,0.3433162000728771
6,0,demand_1.5x,0.8,S2,0.4477295000106096
7,0,demand_1.5x,1.0,S1,0.2466798999812454
7,0,demand_1.5x,0.8,S2,0.5163122999947518
7,0,demand_1.5x,1.0,S1,0.3925885000498965
7,0,demand_1.5x,0.8,S2,0.6488970000064
8,0,demand_1.5x,1.0,S1,0.4753331000683829
8,0,demand_1.5x,0.8,S2,0.5971452000085264
9,0,demand_1.5x,1.0,S1,0.3970135999843478
9,0,demand_1.5x,0.8,S2,0.625921200029552
9,0,demand_1.5x,1.0,S1,0.7144589999224991
9,0,demand_1.5x,0.8,S2,0.9697601000079884
10,0,demand_1.5x,1.0,S1,0.9147901999531314
10,0,demand_1.5x,0.8,S2,1.004490999970585
11,0,demand_1.5x,1.0,S1,0.9312135000946
11,0,demand_1.5x,0.8,S2,1.005409200093709
11,0,demand_1.5x,1.0,S1,0.8423202999401838
11,0,demand_1.5x,0.8,S2,1.012706400011666
12,0,demand_1.5x,1.0,S1,1.0119151000399145
12,0,demand_1.5x,0.8,S2,1.0244320000056175
13,0,demand_1.5x,1.0,S1,1.006841600057669
13,0,demand_1.5x,0.8,S2,1.0221819001017138
13,0,demand_1.5x,1.0,S1,1.0109000999946147
13,0,demand_1.5x,0.8,S2,1.019938200013712
14,0,demand_1.5x,1.0,S1,1.0067482999293134
14,0,demand_1.5x,0.8,S2,1.0163114999886602
15,0,demand_1.5x,1.0,S1,1.0042393999174235
15,0,demand_1.5x,0.8,S2,1.0131047000177205
15,0,demand_1.5x,1.0,S1,1.0103241000324488
15,0,demand_1.5x,0.8,S2,1.007734399987385
16,0,demand_1.5x,1.0,S1,1.01403299998492
16,0,demand_1.5x,0.8,S2,1.003238799981773
17,0,demand_1.5x,1.0,S1,1.0041259999852628
17,0,demand_1.5x,0.8,S2,1.0697543999413028
17,0,demand_1.5x,1.0,S1,1.0255218000384048
17,0,demand_1.5x,0.8,S2,1.061241099960171
18,0,demand_1.5x,1.0,S1,1.0576207999838516
18,0,demand_1.5x,0.8,S2,1.012292700004764
19,0,demand_1.5x,1.0,S1,1.0135727999731898
19,0,demand_1.5x,0.8,S2,1.033192400005646
19,0,demand_1.5x,1.0,S1,1.0124848999548703
19,0,demand_1.5x,0.8,S2,1.0117022000486031
20,0,demand_1.5x,1.0,S1,1.0323419999331236
20,0,demand_1.5x,0.8,S2,1.0904470999957994
21,0,demand_1.5x,1.0,S1,1.0124289999948817
21,0,demand_1.5x,0.8,S2,1.045854500029236
21,0,demand_1.5x,1.0,S1,1.0369471000740305
21,0,demand_1.5x,0.8,S2,1.0373489999910817
22,0,demand_1.5x,1.0,S1,1.0129242000402885
22,0,demand_1.5x,0.8,S2,1.025584700051695
23,0,demand_1.5x,1.0,S1,1.054593599983491
23,0,demand_1.5x,0.8,S2,1.0180441000266
23,0,demand_1.5x,1.0,S1,1.0939213999081403
23,0,demand_1.5x,0.8,S2,1.0261304000159726
24,0,demand_1.5x,1.0,S1,1.082349200034514
24,0,demand_1.5x,0.8,S2,1.156060600071214
25,0,demand_1.5x,1.0,S1,1.0458154999651017
25,0,demand_1.5x,0.8,S2,1.0070255999453366
25,0,demand_1.5x,1.0,S1,1.0486426999559626
25,0,demand_1.5x,0.8,S2,1.0262886999407783
26,0,demand_1.5x,1.0,S1,1.010658200015314
26,0,demand_1.5x,0.8,S2,1.0211969999363646
27,0,demand_1.5x,1.0,S1,1.0346868999768049
27,0,demand_1.5x,0.8,S2,1.0164258000440896
27,0,demand_1.5x,1.0,S1,1.013859299942851
27,0,demand_1.5x,0.8,S2,1.0233645000262186
28,0,demand_1.5x,1.0,S1,1.0450720000080764
28,0,demand_1.5x,0.8,S2,1.065625899937004
29,0,demand_1.5x,1.0,S1,1.028028600034304
29,0,demand_1.5x,0.8,S2,1.0070038000121713
29,0,demand_1.5x,1.0,S1,1.0794910000404343
29,0,demand_1.5x,0.8,S2,1.047013200004585
30,0,demand_1.5x,1.0,S1,1.0982132999924945
30,0,demand_1.5x,0.8,S2,1.3533955999882892
31,0,demand_1.5x,1.0,S1,1.029083599918522
31,0,demand_1.5x,0.8,S2,1.0757871000096202
31,0,demand_1.5x,1.0,S1,1.0399661000119522
31,0,demand_1.5x,0.8,S2,1.0300842999713495
32,0,demand_1.5x,1.0,S1,1.0119180000619965
32,0,demand_1.5x,0.8,S2,1.016414500074461
33,0,demand_1.5x,1.0,S1,1.0663017000770196
33,0,demand_1.5x,0.8,S2,1.3405549000017345
33,0,demand_1.5x,1.0,S1,1.0121253998950124
33,0,demand_1.5x,0.8,S2,1.36301159998402
34,0,demand_1.5x,1.0,S1,1.1596575999865308
34,0,demand_1.5x,0.8,S2,1.056299600051716
35,0,demand_1.5x,1.0,S1,1.1091847999487072
35,0,demand_1.5x,0.8,S2,1.139933199970983
35,0,demand_1.5x,1.0,S1,1.048491399968043
35,0,demand_1.5x,0.8,S2,1.036378200049512
36,0,demand_1.5x,1.0,S1,1.246320899925195
36,0,demand_1.5x,0.8,S2,1.0471582999452949
37,0,demand_1.5x,1.0,S1,1.272659600013867
37,0,demand_1.5x,0.8,S2,1.0150958000449464
37,0,demand_1.5x,1.0,S1,1.1450302000157535
37,0,demand_1.5x,0.8,S2,1.0278031000634655
38,0,demand_1.5x,1.0,S1,1.0239652000600472
