Time,S1_SumDelay,S1_TailSumDelay,S2_SumDelay,S2_TailSumDelay,S1_Throughput,S1_Queue,S2_Throughput,S2_Queue,Seed
78,152.2272133756511,89.32642509065248,141.69449128466405,90.50455819717564,24,4,24,5,0
79,152.2272133756511,89.32642509065248,141.69449128466405,90.50455819717564,24,4,24,5,0
80,157.92491044169032,89.32642509065248,157.8195539232554,90.70894835393004,25,4,26,5,0
81,157.92491044169032,89.32642509065248,157.8195539232554,90.70894835393004,25,5,26,6,0
82,157.92491044169032,89.32642509065248,165.72541342301997,100.93192376972776,25,4,27,6,0
83,169.0964444423326,99.5010857083964,165.72541342301997,100.93192376972776,27,4,27,7,0
84,169.0964444423326,99.5010857083964,165.72541342301997,100.93192376972776,27,4,27,7,0
85,173.99402550298072,99.5010857083964,165.72541342301997,100.93192376972776,28,5,27,8,0
86,173.99402550298072,99.5010857083964,183.88040122658023,103.004360635217,28,5,29,8,0
87,173.99402550298072,99.5010857083964,183.88040122658023,103.004360635217,28,6,29,8,0
88,180.5294891094973,99.5010857083964,194.72960351673345,113.85356292537018,29,6,30,8,0
89,182.62604000935107,108.72372834915755,194.72960351673345,113.85356292537018,30,7,30,9,0
90,192.38380584805265,109.25885154709796,194.72960351673345,113.85356292537018,31,6,30,8,0
91,213.02961219664712,120.35110567877936,194.72960351673345,113.85356292537018,32,7,30,8,0
92,213.02961219664712,120.35110567877936,194.72960351673345,113.85356292537018,32,6,30,7,0
93,216.2305176407136,120.35110567877936,194.72960351673345,113.85356292537018,33,7,30,7,0
94,216.2305176407136,120.35110567877936,195.3549428937726,113.85356292537018,33,7,31,7,0
95,218.65732731954648,129.90465789569242,196.405635381134,113.85356292537018,35,8,32,8,0
96,218.65732731954648,129.90465789569242,196.405635381134,113.85356292537018,35,8,32,8,0
97,218.65732731954648,129.90465789569242,196.405635381134,113.85356292537018,35,7,32,8,0
98,218.65732731954648,129.90465789569242,205.50330903668933,113.85356292537018,35,7,33,7,0
99,218.65732731954648,129.90465789569242,205.50330903668933,113.85356292537018,35,8,33,8,0
100,220.10383331705924,129.90465789569242,209.10573723529637,124.07653834116796,36,8,34,8,0
101,220.10383331705924,129.90465789569242,231.80400962077115,126.2341187026401,36,9,36,9,0
102,220.10383331705924,129.90465789569242,231.80400962077115,126.2341187026401,36,9,36,8,0
103,235.12480800628072,144.92563258491393,243.15667278651188,137.58678186838085,37,10,37,9,0
104,255.3046561131736,154.1482752256751,243.15667278651188,137.58678186838085,40,9,37,9,0
105,255.3046561131736,154.1482752256751,252.0897065384163,137.58678186838085,40,9,38,10,0
106,255.3046561131736,154.1482752256751,252.0897065384163,137.58678186838085,40,8,38,10,0
107,265.0960482523632,154.7170247241035,252.0897065384163,137.58678186838085,41,8,38,10,0
108,265.0960482523632,154.7170247241035,252.0897065384163,137.58678186838085,41,7,38,9,0
109,265.0960482523632,154.7170247241035,260.48027496166867,137.58678186838085,41,8,39,9,0
110,265.0960482523632,154.7170247241035,272.0790377103034,149.18554461701558,41,8,40,9,0
111,274.4213824845567,154.7170247241035,272.0790377103034,149.18554461701558,42,7,40,10,0
112,274.4213824845567,154.7170247241035,288.2753927310673,154.95453406522742,42,7,41,7,0
113,274.4213824845567,154.7170247241035,288.2753927310673,154.95453406522742,42,6,41,8,0
114,284.5329829822592,155.27507300489293,310.1565500123687,166.2040864389786,43,6,42,8,0
115,284.5329829822592,155.27507300489293,310.1565500123687,166.2040864389786,43,6,42,9,0
116,284.5329829822592,155.27507300489293,334.97373034697034,182.07964452869373,43,4,44,9,0
117,284.5329829822592,155.27507300489293,334.97373034697034,182.07964452869373,43,5,44,10,0
118,284.5329829822592,155.27507300489293,334.97373034697034,182.07964452869373,43,4,44,10,0
119,284.5329829822592,155.27507300489293,334.97373034697034,182.07964452869373,43,4,44,8,0
120,284.5329829822592,155.27507300489293,334.97373034697034,182.07964452869373,43,4,44,8,0
121,293.25959100012346,164.82862522180602,334.97373034697034,182.07964452869373,44,4,44,6,0
122,337.24149294201527,189.69850217127836,334.97373034697034,182.07964452869373,46,4,44,6,0
123,338.979602003393,199.25697494678468,350.6776228408419,186.93433473241208,47,4,45,4,0
124,355.20165864469544,199.25697494678468,350.6776228408419,186.93433473241208,49,4,45,3,0
125,380.2498292953576,224.30514559744688,350.6776228408419,186.93433473241208,50,2,45,2,0
126,380.2498292953576,224.30514559744688,375.2670662483448,200.17111497417432,50,1,46,2,0
127,380.2498292953576,224.30514559744688,388.4135788354335,213.317627561263,50,1,47,2,0
128,392.15917922805545,226.29325051276027,427.9666108920096,229.6735687999323,52,1,50,1,0
129,392.15917922805545,226.29325051276027,427.9666108920096,229.6735687999323,52,1,50,1,0
130,392.15917922805545,226.29325051276027,427.9666108920096,229.6735687999323,52,1,50,1,0
131,398.3888499884282,226.29325051276027,431.2021478672283,229.6735687999323,53,1,51,1,0
132,415.56745660438094,243.471857128713,431.2021478672283,229.6735687999323,54,1,51,1,0
133,415.56745660438094,243.471857128713,447.9943050404718,234.17031369188877,54,1,52,0,0
134,428.46546617540025,246.61210086103077,456.6897701776884,234.17031369188877,55,1,53,0,0
