Time,Seed,Demand,Alpha,Scenario,ComputationTime
0,0,demand_1x,1.0,S1,0.0555418999865651
0,0,demand_1x,0.8,S2,0.0744645999511703
1,0,demand_1x,1.0,S1,0.0857159999432042
1,0,demand_1x,0.8,S2,0.0977954000700265
2,0,demand_1x,1.0,S1,0.1030253000790253
2,0,demand_1x,0.8,S2,0.1211941000074148
3,0,demand_1x,1.0,S1,0.1183439999585971
3,0,demand_1x,0.8,S2,0.1382773999357596
4,0,demand_1x,1.0,S1,0.0919301999965682
4,0,demand_1x,0.8,S2,0.1403234999161213
5,0,demand_1x,1.0,S1,0.1579178000101819
5,0,demand_1x,0.8,S2,0.1364879999309778
6,0,demand_1x,1.0,S1,0.1667557000182569
6,0,demand_1x,0.8,S2,0.17688249994535
7,0,demand_1x,1.0,S1,0.1954675000160932
7,0,demand_1x,0.8,S2,0.2596495000179857
8,0,demand_1x,1.0,S1,0.3190253999782726
8,0,demand_1x,0.8,S2,0.3821223999839276
9,0,demand_1x,1.0,S1,0.3763205999275669
9,0,demand_1x,0.8,S2,0.4914810999762267
10,0,demand_1x,1.0,S1,0.3684495000634342
10,0,demand_1x,0.8,S2,0.3523639999330044
11,0,demand_1x,1.0,S1,0.4636339000426233
11,0,demand_1x,0.8,S2,0.5721253999508917
12,0,demand_1x,1.0,S1,0.5653402999741957
12,0,demand_1x,0.8,S2,0.5282277999212965
13,0,demand_1x,1.0,S1,0.8207698999904096
13,0,demand_1x,0.8,S2,0.6129519999958575
14,0,demand_1x,1.0,S1,0.9165011999430136
14,0,demand_1x,0.8,S2,0.7289533000439405
15,0,demand_1x,1.0,S1,0.6714138000970706
15,0,demand_1x,0.8,S2,0.8582514000590891
16,0,demand_1x,1.0,S1,0.5909171999664977
16,0,demand_1x,0.8,S2,0.5681445999071002
17,0,demand_1x,1.0,S1,0.8345687999390066
17,0,demand_1x,0.8,S2,0.9746023999759929
18,0,demand_1x,1.0,S1,0.7530588998924941
18,0,demand_1x,0.8,S2,1.0165878999978304
19,0,demand_1x,1.0,S1,0.8340135999023914
19,0,demand_1x,0.8,S2,1.0099979999940842
20,0,demand_1x,1.0,S1,1.012876599910669
20,0,demand_1x,0.8,S2,1.0094873000634834
21,0,demand_1x,1.0,S1,0.6713918999303132
21,0,demand_1x,0.8,S2,0.935469300020486
22,0,demand_1x,1.0,S1,0.8689110999694094
22,0,demand_1x,0.8,S2,1.0086430999217555
23,0,demand_1x,1.0,S1,1.0054028000449762
23,0,demand_1x,0.8,S2,1.020015700021759
24,0,demand_1x,1.0,S1,1.0077127000549808
24,0,demand_1x,0.8,S2,1.00396860006731
25,0,demand_1x,1.0,S1,0.931378599954769
25,0,demand_1x,0.8,S2,1.008676499943249
26,0,demand_1x,1.0,S1,1.0025463999481872
26,0,demand_1x,0.8,S2,1.0138188999844715
27,0,demand_1x,1.0,S1,1.0104708999861032
27,0,demand_1x,0.8,S2,1.0124046999262646
28,0,demand_1x,1.0,S1,1.01778670004569
28,0,demand_1x,0.8,S2,1.013772699981928
29,0,demand_1x,1.0,S1,1.0178346999455243
29,0,demand_1x,0.8,S2,1.026716399937868
30,0,demand_1x,1.0,S1,1.0076445000013337
30,0,demand_1x,0.8,S2,1.0102478000335395
31,0,demand_1x,1.0,S1,1.0129749999614432
31,0,demand_1x,0.8,S2,1.0198507000459358
32,0,demand_1x,1.0,S1,1.008932299911976
32,0,demand_1x,0.8,S2,1.0410588000668213
33,0,demand_1x,1.0,S1,1.011474399943836
33,0,demand_1x,0.8,S2,1.008165100007318
34,0,demand_1x,1.0,S1,1.0322868999792263
34,0,demand_1x,0.8,S2,1.020158099941909
35,0,demand_1x,1.0,S1,1.0160267999162895
35,0,demand_1x,0.8,S2,1.0232515999814495
36,0,demand_1x,1.0,S1,1.0271687000058591
36,0,demand_1x,0.8,S2,1.0072229000506925
37,0,demand_1x,1.0,S1,1.0165833999635652
37,0,demand_1x,0.8,S2,1.0154059999622405
38,0,demand_1x,1.0,S1,1.0174874999793246
38,0,demand_1x,0.8,S2,1.0354703000048175
39,0,demand_1x,1.0,S1,1.0256955999648198
39,0,demand_1x,0.8,S2,1.0628700000233948
40,0,demand_1x,1.0,S1,1.0254256998887286
40,0,demand_1x,0.8,S2,1.028541799983941
41,0,demand_1x,1.0,S1,1.0124321000184864
41,0,demand_1x,0.8,S2,1.0157921001082286
42,0,demand_1x,1.0,S1,1.0076442999998108
42,0,demand_1x,0.8,S2,1.0145411000121385
43,0,demand_1x,1.0,S1,1.0309846000745893
43,0,demand_1x,0.8,S2,1.084321799920872
44,0,demand_1x,1.0,S1,1.0169099000049755
44,0,demand_1x,0.8,S2,1.0589630999602375
45,0,demand_1x,1.0,S1,1.0280364999780431
45,0,demand_1x,0.8,S2,1.0760288999881595
46,0,demand_1x,1.0,S1,1.0067615999141708
46,0,demand_1x,0.8,S2,1.0110216999892143
47,0,demand_1x,1.0,S1,1.033911700011231
47,0,demand_1x,0.8,S2,1.0173278000438586
48,0,demand_1x,1.0,S1,1.0223616999574006
48,0,demand_1x,0.8,S2,1.0254629000555724
49,0,demand_1x,1.0,S1,1.01267419999931
49,0,demand_1x,0.8,S2,1.0114163999678567
50,0,demand_1x,1.0,S1,1.0557726999977604
50,0,demand_1x,0.8,S2,1.0518191000446675
51,0,demand_1x,1.0,S1,1.0252433000132442
51,0,demand_1x,0.8,S2,1.0605568001046777
52,0,demand_1x,1.0,S1,1.0562326000072062
52,0,demand_1x,0.8,S2,1.048237300012261
53,0,demand_1x,1.0,S1,1.0742248999886217
53,0,demand_1x,0.8,S2,1.0383996999589726
54,0,demand_1x,1.0,S1,1.0154670999618247
54,0,demand_1x,0.8,S2,1.0113152000121772
55,0,demand_1x,1.0,S1,1.01420989993494
55,0,demand_1x,0.8,S2,1.0153013999806717
56,0,demand_1x,1.0,S1,1.0200176000362262
56,0,demand_1x,0.8,S2,1.026088700047694
57,0,demand_1x,1.0,S1,1.0412543999264017
57,0,demand_1x,0.8,S2,1.0377769999904558
58,0,demand_1x,1.0,S1,1.0315228999825194
58,0,demand_1x,0.8,S2,1.067375799990259
59,0,demand_1x,1.0,S1,1.1086265000049025
59,0,demand_1x,0.8,S2,1.0352813999634236
60,0,demand_1x,1.0,S1,1.0108109000138938
60,0,demand_1x,0.8,S2,1.0200348999351263
61,0,demand_1x,1.0,S1,1.0147582999197766
61,0,demand_1x,0.8,S2,1.0436389000387862
62,0,demand_1x,1.0,S1,1.1011253000469878
62,0,demand_1x,0.8,S2,1.1250582999782637
63,0,demand_1x,1.0,S1,1.0879108000081033
63,0,demand_1x,0.8,S2,1.011696699890308
64,0,demand_1x,1.0,S1,1.2009963999735191
64,0,demand_1x,0.8,S2,1.0541903999401256
65,0,demand_1x,1.0,S1,1.2699162000790238
65,0,demand_1x,0.8,S2,1.100759500055574
66,0,demand_1x,1.0,S1,1.010342999943532
66,0,demand_1x,0.8,S2,1.02135489997454
67,0,demand_1x,1.0,S1,1.151311599998735
67,0,demand_1x,0.8,S2,1.2367276001023129
68,0,demand_1x,1.0,S1,1.215812799986452
68,0,demand_1x,0.8,S2,1.1245449000271035
69,0,demand_1x,1.0,S1,1.0699870999669656
69,0,demand_1x,0.8,S2,1.3113535000011325
70,0,demand_1x,1.0,S1,1.1080645999172702
70,0,demand_1x,0.8,S2,1.014973200042732
71,0,demand_1x,1.0,S1,1.0240223000291735
71,0,demand_1x,0.8,S2,1.0471288999542594
72,0,demand_1x,1.0,S1,1.073766199988313
72,0,demand_1x,0.8,S2,1.0481216999469325
73,0,demand_1x,1.0,S1,1.0592166999122128
73,0,demand_1x,0.8,S2,1.1025173000525683
74,0,demand_1x,1.0,S1,1.0335249000927431
74,0,demand_1x,0.8,S2,1.0178973000729457
75,0,demand_1x,1.0,S1,1.053671499947086
75,0,demand_1x,0.8,S2,1.1994590000249443
76,0,demand_1x,1.0,S1,1.181210599956103
76,0,demand_1x,0.8,S2,1.0773610000032932
77,0,demand_1x,1.0,S1,1.0310362000018358
77,0,demand_1x,0.8,S2,1.0711654000915587
78,0,demand_1x,1.0,S1,1.1877038000384346
78,0,demand_1x,0.8,S2,1.1036742000142112
79,0,demand_1x,1.0,S1,1.046340400003828
79,0,demand_1x,0.8,S2,1.5577482000226155
80,0,demand_1x,1.0,S1,1.03840710001532
80,0,demand_1x,0.8,S2,1.119971700012684
81,0,demand_1x,1.0,S1,1.1249238000018522
81,0,demand_1x,0.8,S2,1.0255544999381527
82,0,demand_1x,1.0,S1,1.050893499981612
82,0,demand_1x,0.8,S2,1.05772329994943
83,0,demand_1x,1.0,S1,1.1005834999959916
83,0,demand_1x,0.8,S2,1.0223166999639943
84,0,demand_1x,1.0,S1,1.0287556999828666
84,0,demand_1x,0.8,S2,1.0358028000919148
85,0,demand_1x,1.0,S1,1.0239717001095414
85,0,demand_1x,0.8,S2,1.2066391999833286
86,0,demand_1x,1.0,S1,1.115561099955812
86,0,demand_1x,0.8,S2,1.029626699979417
87,0,demand_1x,1.0,S1,1.09043159999419
87,0,demand_1x,0.8,S2,1.1716332000214609
88,0,demand_1x,1.0,S1,1.1009975000051782
88,0,demand_1x,0.8,S2,1.1237790000159291
89,0,demand_1x,1.0,S1,1.0827775999205187
89,0,demand_1x,0.8,S2,1.0548111000098288
90,0,demand_1x,1.0,S1,1.0601568999700248
90,0,demand_1x,0.8,S2,1.1858117999508977
91,0,demand_1x,1.0,S1,1.202571599977091
91,0,demand_1x,0.8,S2,1.025499899988063
92,0,demand_1x,1.0,S1,1.0590648000361398
92,0,demand_1x,0.8,S2,1.0359758000122383
93,0,demand_1x,1.0,S1,1.0664973000530154
93,0,demand_1x,0.8,S2,1.1263305000029504
94,0,demand_1x,1.0,S1,1.087374800001271
94,0,demand_1x,0.8,S2,1.2377312999451533
95,0,demand_1x,1.0,S1,1.3512477000476792
95,0,demand_1x,0.8,S2,1.073511099908501
96,0,demand_1x,1.0,S1,1.227625700063072
96,0,demand_1x,0.8,S2,1.141530399909243
97,0,demand_1x,1.0,S1,1.1385344000300393
97,0,demand_1x,0.8,S2,1.0708482000045478
98,0,demand_1x,1.0,S1,1.309973300085403
98,0,demand_1x,0.8,S2,1.197499500005506
99,0,demand_1x,1.0,S1,1.0180981999728829
99,0,demand_1x,0.8,S2,1.106529699987732
100,0,demand_1x,1.0,S1,1.057894599973224
100,0,demand_1x,0.8,S2,1.1268105000490325
101,0,demand_1x,1.0,S1,1.0489811999723315
101,0,demand_1x,0.8,S2,1.048410200048238
