Time,Seed,Demand,Alpha,Scenario,ComputationTime
1,0,demand_0.75x,1.0,S1,0.0462600999744609
1,0,demand_0.75x,0.9,S2,0.0571805000072345
2,0,demand_0.75x,1.0,S1,0.0580052000004798
2,0,demand_0.75x,0.9,S2,0.0980485000181943
3,0,demand_0.75x,1.0,S1,0.102459100075066
3,0,demand_0.75x,0.9,S2,0.1130262999795377
5,0,demand_0.75x,1.0,S1,0.0890994999790564
5,0,demand_0.75x,0.9,S2,0.1346343000186607
6,0,demand_0.75x,1.0,S1,0.1231720000505447
6,0,demand_0.75x,0.9,S2,0.1280169000383466
7,0,demand_0.75x,1.0,S1,0.1079509999835863
7,0,demand_0.75x,0.9,S2,0.2094279999146238
9,0,demand_0.75x,1.0,S1,0.1943939999910071
9,0,demand_0.75x,0.9,S2,0.259724999894388
10,0,demand_0.75x,1.0,S1,0.2987282000249252
10,0,demand_0.75x,0.9,S2,0.2957137000048533
11,0,demand_0.75x,1.0,S1,0.3035424998961389
11,0,demand_0.75x,0.9,S2,0.3530055000446737
13,0,demand_0.75x,1.0,S1,0.3202006999636069
13,0,demand_0.75x,0.9,S2,0.3937961999326944
14,0,demand_0.75x,1.0,S1,0.3342059999704361
14,0,demand_0.75x,0.9,S2,0.3658781000413
15,0,demand_0.75x,1.0,S1,0.3009060999611392
15,0,demand_0.75x,0.9,S2,0.4188379000406712
17,0,demand_0.75x,1.0,S1,0.3543101999675855
17,0,demand_0.75x,0.9,S2,0.4193765999516472
18,0,demand_0.75x,1.0,S1,0.3016180000267923
18,0,demand_0.75x,0.9,S2,0.4939623000100255
19,0,demand_0.75x,1.0,S1,0.4135137000121176
19,0,demand_0.75x,0.9,S2,0.4067472999449819
21,0,demand_0.75x,1.0,S1,0.1871037000091746
21,0,demand_0.75x,0.9,S2,0.4818263000342995
22,0,demand_0.75x,1.0,S1,0.283109699958004
22,0,demand_0.75x,0.9,S2,0.5660144999856129
23,0,demand_0.75x,1.0,S1,0.3022007000399753
23,0,demand_0.75x,0.9,S2,0.6488620999734849
25,0,demand_0.75x,1.0,S1,0.3842562000500038
25,0,demand_0.75x,0.9,S2,0.9136981000192465
26,0,demand_0.75x,1.0,S1,0.4161548999836668
26,0,demand_0.75x,0.9,S2,0.7220759000629187
27,0,demand_0.75x,1.0,S1,0.5454705000156537
27,0,demand_0.75x,0.9,S2,0.7970708999782801
29,0,demand_0.75x,1.0,S1,0.4218429999891668
29,0,demand_0.75x,0.9,S2,0.8019776999717578
30,0,demand_0.75x,1.0,S1,0.612497300026007
30,0,demand_0.75x,0.9,S2,1.0021669999696314
31,0,demand_0.75x,1.0,S1,0.7070409000152722
31,0,demand_0.75x,0.9,S2,0.9488736999919638
33,0,demand_0.75x,1.0,S1,0.9030547000002116
33,0,demand_0.75x,0.9,S2,1.0045205999631437
34,0,demand_0.75x,1.0,S1,0.8971598000498489
34,0,demand_0.75x,0.9,S2,1.003967399941757
35,0,demand_0.75x,1.0,S1,1.0118667000206187
35,0,demand_0.75x,0.9,S2,1.0089930000249296
37,0,demand_0.75x,1.0,S1,1.006335800047964
37,0,demand_0.75x,0.9,S2,1.0090210000053048
38,0,demand_0.75x,1.0,S1,0.8593623000197113
38,0,demand_0.75x,0.9,S2,1.005779099999927
39,0,demand_0.75x,1.0,S1,1.0106936999363825
39,0,demand_0.75x,0.9,S2,1.0304275000235066
41,0,demand_0.75x,1.0,S1,0.8008746999548748
41,0,demand_0.75x,0.9,S2,1.013284399989061
42,0,demand_0.75x,1.0,S1,0.8496451999526471
42,0,demand_0.75x,0.9,S2,1.0151472999714315
43,0,demand_0.75x,1.0,S1,1.0078027000417933
43,0,demand_0.75x,0.9,S2,1.0043385000899434
45,0,demand_0.75x,1.0,S1,1.0080526999663562
45,0,demand_0.75x,0.9,S2,1.0051813001045955
46,0,demand_0.75x,1.0,S1,1.005378199974075
46,0,demand_0.75x,0.9,S2,1.0176345000509173
47,0,demand_0.75x,1.0,S1,1.0171421999111772
47,0,demand_0.75x,0.9,S2,1.012989400071092
49,0,demand_0.75x,1.0,S1,1.0108017000602558
49,0,demand_0.75x,0.9,S2,1.018659200053662
50,0,demand_0.75x,1.0,S1,1.0027025000890717
50,0,demand_0.75x,0.9,S2,1.013039099983871
51,0,demand_0.75x,1.0,S1,1.0102633000351489
51,0,demand_0.75x,0.9,S2,1.009174800012261
53,0,demand_0.75x,1.0,S1,1.019460599985905
53,0,demand_0.75x,0.9,S2,1.0282009999500588
54,0,demand_0.75x,1.0,S1,1.008096000063233
54,0,demand_0.75x,0.9,S2,1.0185859999619424
55,0,demand_0.75x,1.0,S1,1.0314003000967205
55,0,demand_0.75x,0.9,S2,1.0087830000557003
57,0,demand_0.75x,1.0,S1,1.0045158999273551
57,0,demand_0.75x,0.9,S2,1.0147930999519303
58,0,demand_0.75x,1.0,S1,1.007327700033784
58,0,demand_0.75x,0.9,S2,1.0094009999884292
59,0,demand_0.75x,1.0,S1,1.0084421000210568
59,0,demand_0.75x,0.9,S2,1.013895400101319
61,0,demand_0.75x,1.0,S1,1.007380299968645
61,0,demand_0.75x,0.9,S2,1.0077853000257164
62,0,demand_0.75x,1.0,S1,1.007155600003898
62,0,demand_0.75x,0.9,S2,1.0094787999987602
63,0,demand_0.75x,1.0,S1,1.0061080999439582
63,0,demand_0.75x,0.9,S2,1.021716699935496
65,0,demand_0.75x,1.0,S1,1.0193802999565378
65,0,demand_0.75x,0.9,S2,1.0080886000068858
66,0,demand_0.75x,1.0,S1,1.0097128000343218
66,0,demand_0.75x,0.9,S2,1.0348079999675974
67,0,demand_0.75x,1.0,S1,1.0114888000534847
67,0,demand_0.75x,0.9,S2,1.0168577999575064
69,0,demand_0.75x,1.0,S1,1.0047896000323815
69,0,demand_0.75x,0.9,S2,1.00533950002864
70,0,demand_0.75x,1.0,S1,1.0184020000742748
70,0,demand_0.75x,0.9,S2,1.0091669000685215
71,0,demand_0.75x,1.0,S1,1.0365096000023186
71,0,demand_0.75x,0.9,S2,1.0090501999948174
73,0,demand_0.75x,1.0,S1,1.0179187000030652
73,0,demand_0.75x,0.9,S2,1.0181237999349833
74,0,demand_0.75x,1.0,S1,1.0083416999550536
74,0,demand_0.75x,0.9,S2,1.0147235000040382
75,0,demand_0.75x,1.0,S1,1.0122492000227794
75,0,demand_0.75x,0.9,S2,1.0161707000806928
77,0,demand_0.75x,1.0,S1,1.0276797000551596
77,0,demand_0.75x,0.9,S2,1.0121978000970555
78,0,demand_0.75x,1.0,S1,1.011396799935028
78,0,demand_0.75x,0.9,S2,1.014872599975206
79,0,demand_0.75x,1.0,S1,1.034793300088495
79,0,demand_0.75x,0.9,S2,1.0648692999966445
81,0,demand_0.75x,1.0,S1,1.0063453000038862
81,0,demand_0.75x,0.9,S2,1.0284210999961942
82,0,demand_0.75x,1.0,S1,1.0482032999861983
82,0,demand_0.75x,0.9,S2,1.0132751999190075
83,0,demand_0.75x,1.0,S1,1.0133316999999806
83,0,demand_0.75x,0.9,S2,1.0156283000251278
85,0,demand_0.75x,1.0,S1,1.0051340999780225
85,0,demand_0.75x,0.9,S2,1.0126671999460086
86,0,demand_0.75x,1.0,S1,1.0168258000630883
86,0,demand_0.75x,0.9,S2,1.0554069998906923
87,0,demand_0.75x,1.0,S1,1.0185511000454426
87,0,demand_0.75x,0.9,S2,1.007961899973452
89,0,demand_0.75x,1.0,S1,1.0171769000589848
89,0,demand_0.75x,0.9,S2,1.0234197000972929
90,0,demand_0.75x,1.0,S1,1.027811300009489
