Time,Seed,Demand,Alpha,Scenario,ComputationTime
0,0,demand_1.25x,1.0,S1,0.0713607999496162
0,0,demand_1.25x,0.9,S2,0.0735299999359995
1,0,demand_1.25x,1.0,S1,0.0873467000201344
1,0,demand_1.25x,0.9,S2,0.0835073998896405
2,0,demand_1.25x,1.0,S1,0.1020612999564036
2,0,demand_1.25x,0.9,S2,0.1212231999961659
3,0,demand_1.25x,1.0,S1,0.1193800999317318
3,0,demand_1.25x,0.9,S2,0.1400190000422299
3,0,demand_1.25x,1.0,S1,0.1303570000454783
3,0,demand_1.25x,0.9,S2,0.1623104000464081
4,0,demand_1.25x,1.0,S1,0.1589806000702083
4,0,demand_1.25x,0.9,S2,0.2129239001078531
5,0,demand_1.25x,1.0,S1,0.2066954999463632
5,0,demand_1.25x,0.9,S2,0.2648728999774903
6,0,demand_1.25x,1.0,S1,0.2367010000161826
6,0,demand_1.25x,0.9,S2,0.2806126999203115
7,0,demand_1.25x,1.0,S1,0.2642499000066891
7,0,demand_1.25x,0.9,S2,0.3375083999708295
7,0,demand_1.25x,1.0,S1,0.3358634000178426
7,0,demand_1.25x,0.9,S2,0.4316376999486238
8,0,demand_1.25x,1.0,S1,0.3678511000471189
8,0,demand_1.25x,0.9,S2,0.4331119999988004
9,0,demand_1.25x,1.0,S1,0.4473645000252872
9,0,demand_1.25x,0.9,S2,0.6023326999275014
10,0,demand_1.25x,1.0,S1,0.6252717999741435
10,0,demand_1.25x,0.9,S2,0.7610062999883667
11,0,demand_1.25x,1.0,S1,0.7070854000048712
11,0,demand_1.25x,0.9,S2,1.002141400007531
11,0,demand_1.25x,1.0,S1,0.6819333999883384
11,0,demand_1.25x,0.9,S2,1.0022348000202328
12,0,demand_1.25x,1.0,S1,1.0015726001001894
12,0,demand_1.25x,0.9,S2,1.006003599963151
13,0,demand_1.25x,1.0,S1,1.00214859994594
13,0,demand_1.25x,0.9,S2,1.0098507000366226
14,0,demand_1.25x,1.0,S1,1.0108553000027314
14,0,demand_1.25x,0.9,S2,1.0039439999964088
15,0,demand_1.25x,1.0,S1,1.0062352999811992
15,0,demand_1.25x,0.9,S2,1.0066230000229552
15,0,demand_1.25x,1.0,S1,1.0064847000176087
15,0,demand_1.25x,0.9,S2,1.0062664999859408
16,0,demand_1.25x,1.0,S1,1.004030300071463
16,0,demand_1.25x,0.9,S2,1.0206480999477208
17,0,demand_1.25x,1.0,S1,1.0083869999507442
17,0,demand_1.25x,0.9,S2,1.0292343000182882
18,0,demand_1.25x,1.0,S1,1.0157054000301289
18,0,demand_1.25x,0.9,S2,1.0118163999868557
19,0,demand_1.25x,1.0,S1,1.0415440000360832
19,0,demand_1.25x,0.9,S2,1.0040399000281468
19,0,demand_1.25x,1.0,S1,1.0021694999886677
19,0,demand_1.25x,0.9,S2,1.08201899996493
20,0,demand_1.25x,1.0,S1,1.0175327999750152
20,0,demand_1.25x,0.9,S2,1.0110605999361724
21,0,demand_1.25x,1.0,S1,1.024632600019686
21,0,demand_1.25x,0.9,S2,1.0108282000292093
22,0,demand_1.25x,1.0,S1,1.0039083999581635
22,0,demand_1.25x,0.9,S2,1.010437700082548
23,0,demand_1.25x,1.0,S1,1.010752100031823
23,0,demand_1.25x,0.9,S2,1.0264061999041587
23,0,demand_1.25x,1.0,S1,1.0040065000066534
23,0,demand_1.25x,0.9,S2,1.0167952000629157
24,0,demand_1.25x,1.0,S1,1.00443709990941
24,0,demand_1.25x,0.9,S2,1.0108265000162646
25,0,demand_1.25x,1.0,S1,1.0137976999394596
25,0,demand_1.25x,0.9,S2,1.0440155999967828
26,0,demand_1.25x,1.0,S1,1.0437651999527588
26,0,demand_1.25x,0.9,S2,1.0272828999441117
27,0,demand_1.25x,1.0,S1,1.0352756000356749
27,0,demand_1.25x,0.9,S2,1.0473883000668138
27,0,demand_1.25x,1.0,S1,1.006675999960862
27,0,demand_1.25x,0.9,S2,1.0911231000209227
28,0,demand_1.25x,1.0,S1,1.011368800071068
28,0,demand_1.25x,0.9,S2,1.0711526999948546
29,0,demand_1.25x,1.0,S1,1.0224385999608785
29,0,demand_1.25x,0.9,S2,1.02997720008716
30,0,demand_1.25x,1.0,S1,1.0289897000184285
30,0,demand_1.25x,0.9,S2,1.015168400015682
31,0,demand_1.25x,1.0,S1,1.0245464999461549
31,0,demand_1.25x,0.9,S2,1.0747576999710873
31,0,demand_1.25x,1.0,S1,1.0191439000191167
31,0,demand_1.25x,0.9,S2,1.100035100011155
32,0,demand_1.25x,1.0,S1,1.054156200028956
32,0,demand_1.25x,0.9,S2,1.089747600024566
33,0,demand_1.25x,1.0,S1,1.0477634000126272
33,0,demand_1.25x,0.9,S2,1.0384174999780953
34,0,demand_1.25x,1.0,S1,1.0292715000687167
34,0,demand_1.25x,0.9,S2,1.0215694000944495
35,0,demand_1.25x,1.0,S1,1.008889599936083
35,0,demand_1.25x,0.9,S2,1.0490095999557525
35,0,demand_1.25x,1.0,S1,1.0683577000163496
35,0,demand_1.25x,0.9,S2,1.0615496000973508
36,0,demand_1.25x,1.0,S1,1.0176082000834867
36,0,demand_1.25x,0.9,S2,1.1639094999991355
37,0,demand_1.25x,1.0,S1,1.0470099000958726
37,0,demand_1.25x,0.9,S2,1.0117708999896422
38,0,demand_1.25x,1.0,S1,1.056442999979481
38,0,demand_1.25x,0.9,S2,1.1782039999961853
39,0,demand_1.25x,1.0,S1,1.02331449999474
