Time,Seed,Demand,Alpha,Scenario,ComputationTime
0,0,demand_1.5x,1.0,S1,0.0490837000543251
0,0,demand_1.5x,0.9,S2,0.0508960000006482
1,0,demand_1.5x,1.0,S1,0.0733500000787898
1,0,demand_1.5x,0.9,S2,0.0982083000708371
1,0,demand_1.5x,1.0,S1,0.097871100064367
1,0,demand_1.5x,0.9,S2,0.1160367000848054
2,0,demand_1.5x,1.0,S1,0.1490415000589564
2,0,demand_1.5x,0.9,S2,0.2172076000133529
3,0,demand_1.5x,1.0,S1,0.1173468000488355
3,0,demand_1.5x,0.9,S2,0.1485841000685468
3,0,demand_1.5x,1.0,S1,0.1785126000177115
3,0,demand_1.5x,0.9,S2,0.2225179999368265
4,0,demand_1.5x,1.0,S1,0.215910300030373
4,0,demand_1.5x,0.9,S2,0.3237195000983774
5,0,demand_1.5x,1.0,S1,0.2683060000417754
5,0,demand_1.5x,0.9,S2,0.4020357000408694
5,0,demand_1.5x,1.0,S1,0.3173004999989643
5,0,demand_1.5x,0.9,S2,0.4514066999545321
6,0,demand_1.5x,1.0,S1,0.3523358999518677
6,0,demand_1.5x,0.9,S2,0.4924454999854788
7,0,demand_1.5x,1.0,S1,0.3781100999331102
7,0,demand_1.5x,0.9,S2,0.4367863999214023
7,0,demand_1.5x,1.0,S1,0.5353606999851763
7,0,demand_1.5x,0.9,S2,0.6308546999935061
8,0,demand_1.5x,1.0,S1,0.5815584999509156
8,0,demand_1.5x,0.9,S2,0.7082996999379247
9,0,demand_1.5x,1.0,S1,0.6058582999976352
9,0,demand_1.5x,0.9,S2,1.0063995000673458
9,0,demand_1.5x,1.0,S1,0.7738865000428632
9,0,demand_1.5x,0.9,S2,1.0090577999362722
10,0,demand_1.5x,1.0,S1,1.0085112999659032
10,0,demand_1.5x,0.9,S2,1.0055483999894932
11,0,demand_1.5x,1.0,S1,1.007890100008808
11,0,demand_1.5x,0.9,S2,1.0051262999186292
11,0,demand_1.5x,1.0,S1,1.007915100082755
11,0,demand_1.5x,0.9,S2,1.0041894000023603
12,0,demand_1.5x,1.0,S1,1.0018773999763653
12,0,demand_1.5x,0.9,S2,1.0146254999563098
13,0,demand_1.5x,1.0,S1,1.0031452999683097
13,0,demand_1.5x,0.9,S2,1.0096145999850703
13,0,demand_1.5x,1.0,S1,1.0074966999236494
13,0,demand_1.5x,0.9,S2,1.022349499980919
14,0,demand_1.5x,1.0,S1,1.0186407999135554
14,0,demand_1.5x,0.9,S2,1.0175113000441345
15,0,demand_1.5x,1.0,S1,1.0109340000199154
15,0,demand_1.5x,0.9,S2,1.0080609999131411
15,0,demand_1.5x,1.0,S1,1.02114310010802
15,0,demand_1.5x,0.9,S2,1.0170549000613391
16,0,demand_1.5x,1.0,S1,1.022182899992913
16,0,demand_1.5x,0.9,S2,1.0083324000006542
17,0,demand_1.5x,1.0,S1,1.0035792000126094
17,0,demand_1.5x,0.9,S2,1.0112506999867037
17,0,demand_1.5x,1.0,S1,1.0502241000067445
17,0,demand_1.5x,0.9,S2,1.008672900032252
18,0,demand_1.5x,1.0,S1,1.0048583999741822
18,0,demand_1.5x,0.9,S2,1.019298299914226
19,0,demand_1.5x,1.0,S1,1.012386200018227
19,0,demand_1.5x,0.9,S2,1.0252888000104576
19,0,demand_1.5x,1.0,S1,1.021406100015156
19,0,demand_1.5x,0.9,S2,1.0215316000394523
20,0,demand_1.5x,1.0,S1,1.040647399961017
20,0,demand_1.5x,0.9,S2,1.014882399933413
21,0,demand_1.5x,1.0,S1,1.0251955999992788
21,0,demand_1.5x,0.9,S2,1.0115762000204995
21,0,demand_1.5x,1.0,S1,1.1019633000250906
21,0,demand_1.5x,0.9,S2,1.0667388999136165
22,0,demand_1.5x,1.0,S1,1.0217377999797463
22,0,demand_1.5x,0.9,S2,1.0297849000198769
23,0,demand_1.5x,1.0,S1,1.0673158999998122
23,0,demand_1.5x,0.9,S2,1.0983433000510558
23,0,demand_1.5x,1.0,S1,1.0396499000489712
23,0,demand_1.5x,0.9,S2,1.041958800051361
24,0,demand_1.5x,1.0,S1,1.162154100020416
24,0,demand_1.5x,0.9,S2,1.0269709000131115
25,0,demand_1.5x,1.0,S1,1.0058739999076352
25,0,demand_1.5x,0.9,S2,1.1370734999654817
25,0,demand_1.5x,1.0,S1,1.008064099936746
25,0,demand_1.5x,0.9,S2,1.097554299980402
26,0,demand_1.5x,1.0,S1,1.1148534999229014
26,0,demand_1.5x,0.9,S2,1.0626738000428304
27,0,demand_1.5x,1.0,S1,1.0306300999363884
27,0,demand_1.5x,0.9,S2,1.1512167999753729
27,0,demand_1.5x,1.0,S1,1.0811053999932485
27,0,demand_1.5x,0.9,S2,1.032515799975954
28,0,demand_1.5x,1.0,S1,1.085375600028783
28,0,demand_1.5x,0.9,S2,1.0507889000000432
29,0,demand_1.5x,1.0,S1,1.0294110000832006
29,0,demand_1.5x,0.9,S2,1.1776806000852955
29,0,demand_1.5x,1.0,S1,1.0311163999140265
29,0,demand_1.5x,0.9,S2,1.1117129999911413
30,0,demand_1.5x,1.0,S1,1.0529254999710247
30,0,demand_1.5x,0.9,S2,1.216554000042379
31,0,demand_1.5x,1.0,S1,1.0296109999762848
31,0,demand_1.5x,0.9,S2,1.0796176999574527
31,0,demand_1.5x,1.0,S1,1.0139888999983668
31,0,demand_1.5x,0.9,S2,1.0357991999480871
32,0,demand_1.5x,1.0,S1,1.1459353999234736
32,0,demand_1.5x,0.9,S2,1.093867199961096
33,0,demand_1.5x,1.0,S1,1.0459999999729916
33,0,demand_1.5x,0.9,S2,1.059585199924186
33,0,demand_1.5x,1.0,S1,1.0772419999120757
33,0,demand_1.5x,0.9,S2,1.0362884999485686
34,0,demand_1.5x,1.0,S1,1.082956199999899
34,0,demand_1.5x,0.9,S2,1.1770424999995155
35,0,demand_1.5x,1.0,S1,1.0326081999810413
35,0,demand_1.5x,0.9,S2,1.113641700008884
35,0,demand_1.5x,1.0,S1,1.020611499901861
