Time,Seed,Scenario,VehicleID,Route
12,0,S1,2,+3 -3
12,0,S1,3,-4
12,0,S1,4,+5 -5
12,0,S1,5,+6 -6
12,0,S1,6,
12,0,S1,7,
12,0,S1,8,
12,0,S1,9,
12,0,S2,0,+1 -1
12,0,S2,1,+2 -2
12,0,S2,2,+3 -3
12,0,S2,3,-4
12,0,S2,4,+5 -5
12,0,S2,5,+6 -6
12,0,S2,6,
12,0,S2,7,
12,0,S2,8,
12,0,S2,9,
13,0,S1,0,+1 -1
13,0,S1,1,+2 -2
13,0,S1,2,-3
13,0,S1,3,-4
13,0,S1,4,+5 -5
13,0,S1,5,+6 -6
13,0,S1,6,+7 -7
13,0,S1,7,
13,0,S1,8,
13,0,S1,9,
13,0,S2,0,+1 -1
13,0,S2,1,+2 -2
13,0,S2,2,-3
13,0,S2,3,-4
13,0,S2,4,+5 -5
13,0,S2,5,+6 -6
13,0,S2,6,+7 -7
13,0,S2,7,
13,0,S2,8,
13,0,S2,9,
14,0,S1,0,+1 -1
14,0,S1,1,+2 -2
14,0,S1,2,-3
14,0,S1,3,-4
14,0,S1,4,+5 -5
14,0,S1,5,+6 -6
14,0,S1,6,+7 -7
14,0,S1,7,
14,0,S1,8,
14,0,S1,9,
14,0,S2,0,+1 -1
14,0,S2,1,+2 -2
14,0,S2,2,-3
14,0,S2,3,-4
14,0,S2,4,+5 -5
14,0,S2,5,+6 -6
14,0,S2,6,+7 -7
14,0,S2,7,
14,0,S2,8,
14,0,S2,9,
15,0,S1,0,+1 -1
15,0,S1,1,+7 -7
15,0,S1,2,-3
15,0,S1,3,-4 +2 -2
15,0,S1,4,+5 -5
15,0,S1,5,-6
15,0,S1,6,+8 -8
15,0,S1,7,
15,0,S1,8,
15,0,S1,9,
15,0,S2,0,+1 -1
15,0,S2,1,+2 -2
15,0,S2,2,-3
15,0,S2,3,-4
15,0,S2,4,+5 -5
15,0,S2,5,-6
15,0,S2,6,+7 -7
15,0,S2,7,+8 -8
15,0,S2,8,
15,0,S2,9,
16,0,S1,0,+1 -1
16,0,S1,1,+7 -7
16,0,S1,2,-3
16,0,S1,3,-4 +2 -2
16,0,S1,4,+5 -5
16,0,S1,5,-6
16,0,S1,6,+8 -8
16,0,S1,7,
16,0,S1,8,
16,0,S1,9,
16,0,S2,0,+1 -1
16,0,S2,1,+2 -2
16,0,S2,2,-3
16,0,S2,3,-4
16,0,S2,4,+5 -5
16,0,S2,5,-6
16,0,S2,6,+7 -7
16,0,S2,7,+8 -8
16,0,S2,8,
16,0,S2,9,
17,0,S1,0,+1 -1
17,0,S1,1,+7 -7
17,0,S1,2,-3
17,0,S1,3,-4 +2 -2
17,0,S1,4,+9 +5 -9 -5
17,0,S1,5,-6
17,0,S1,6,+8 -8
17,0,S1,7,
17,0,S1,8,
17,0,S1,9,
17,0,S2,0,+1 -1
17,0,S2,1,+2 -2
17,0,S2,2,-3
17,0,S2,3,-4
17,0,S2,4,+9 +5 -9 -5
17,0,S2,5,-6
17,0,S2,6,+7 -7
17,0,S2,7,+8 -8
17,0,S2,8,
17,0,S2,9,
18,0,S1,0,+1 -1
18,0,S1,1,+7 -7
18,0,S1,2,
18,0,S1,3,-4 +2 -2
18,0,S1,4,+9 +5 -9 -5
18,0,S1,5,-6
18,0,S1,6,+8 -8
18,0,S1,7,
18,0,S1,8,
18,0,S1,9,
18,0,S2,0,+1 -1
18,0,S2,1,+2 -2
18,0,S2,2,
18,0,S2,3,-4
18,0,S2,4,+9 +5 -9 -5
18,0,S2,5,-6
18,0,S2,6,+7 -7
18,0,S2,7,+8 -8
18,0,S2,8,
18,0,S2,9,
19,0,S1,0,+1 -1
19,0,S1,1,+10 -7 -10
19,0,S1,2,
19,0,S1,3,-4 +2 -2
19,0,S1,4,+9 +5 -9 -5
19,0,S1,5,-6
19,0,S1,6,-8
19,0,S1,7,
19,0,S1,8,
19,0,S1,9,
19,0,S2,0,+1 -1
19,0,S2,1,+2 -2
19,0,S2,2,
19,0,S2,3,-4
19,0,S2,4,+9 +5 -9 -5
19,0,S2,5,-6
19,0,S2,6,+7 -7
19,0,S2,7,+8 -8
19,0,S2,8,+10 -10
19,0,S2,9,
20,0,S1,0,+1 -1
20,0,S1,1,+10 -7 -10
20,0,S1,2,
20,0,S1,3,-4 +2 -2
20,0,S1,4,+9 +5 -9 -5
20,0,S1,5,-6
20,0,S1,6,-8
20,0,S1,7,
20,0,S1,8,
20,0,S1,9,
20,0,S2,0,+1 -1
20,0,S2,1,+2 -2
20,0,S2,2,
20,0,S2,3,-4
20,0,S2,4,+9 +5 -9 -5
20,0,S2,5,-6
20,0,S2,6,+7 -7
20,0,S2,7,+8 -8
20,0,S2,8,+10 -10
20,0,S2,9,
21,0,S1,0,+1 -1
21,0,S1,1,+10 -7 -10
21,0,S1,2,
21,0,S1,3,-4 +2 -2
21,0,S1,4,+9 +5 -9 -5
21,0,S1,5,-6
21,0,S1,6,-8
21,0,S1,7,+11 -11
21,0,S1,8,
21,0,S1,9,
21,0,S2,0,+1 -1
21,0,S2,1,+2 -2
21,0,S2,2,
21,0,S2,3,-4
21,0,S2,4,+9 +5 -9 -5
21,0,S2,5,-6
21,0,S2,6,+7 -7
21,0,S2,7,-8
21,0,S2,8,+10 -10
21,0,S2,9,+11 -11
22,0,S1,0,+1 -1
22,0,S1,1,+10 -7 -10
22,0,S1,2,
22,0,S1,3,-4 +2 -2
22,0,S1,4,+9 +5 -9 -5
22,0,S1,5,-6
22,0,S1,6,-8
22,0,S1,7,+11 -11
22,0,S1,8,
22,0,S1,9,
22,0,S2,0,+1 -1
22,0,S2,1,+2 -2
22,0,S2,2,
22,0,S2,3,-4
22,0,S2,4,+9 +5 -9 -5
22,0,S2,5,-6
22,0,S2,6,+7 -7
22,0,S2,7,-8
22,0,S2,8,+10 -10
22,0,S2,9,+11 -11
23,0,S1,0,+1 -1
23,0,S1,1,+10 -7 -10
23,0,S1,2,+12 -12
23,0,S1,3,-4 +2 -2
23,0,S1,4,+9 +5 -9 -5
23,0,S1,5,-6
23,0,S1,6,-8
23,0,S1,7,+11 -11
23,0,S1,8,
23,0,S1,9,
23,0,S2,0,+1 -1
23,0,S2,1,+2 -2
23,0,S2,2,+12 -12
23,0,S2,3,-4
23,0,S2,4,+9 +5 -9 -5
23,0,S2,5,-6
23,0,S2,6,+7 -7
23,0,S2,7,-8
23,0,S2,8,+10 -10
23,0,S2,9,+11 -11
24,0,S1,0,+1 -1
24,0,S1,1,+10 -7 -10
24,0,S1,2,+12 -12
24,0,S1,3,-4 +2 -2
24,0,S1,4,+9 +5 -9 -5
24,0,S1,5,-6
24,0,S1,6,-8
24,0,S1,7,+11 -11
24,0,S1,8,
24,0,S1,9,
24,0,S2,0,+1 -1
24,0,S2,1,+2 -2
24,0,S2,2,+12 -12
24,0,S2,3,-4
24,0,S2,4,+9 +5 -9 -5
24,0,S2,5,-6
24,0,S2,6,+7 -7
24,0,S2,7,-8
24,0,S2,8,+10 -10
24,0,S2,9,+11 -11
25,0,S1,0,+1 -1
25,0,S1,1,+10 -7 -10
25,0,S1,2,-12
25,0,S1,3,-4 +2 -2
25,0,S1,4,+9 +5 -9 -5
25,0,S1,5,-6
25,0,S1,6,-8
25,0,S1,7,-11
25,0,S1,8,+13 -13
25,0,S1,9,
25,0,S2,0,+1 -1
25,0,S2,1,+2 -2
25,0,S2,2,-12
25,0,S2,3,-4
25,0,S2,4,+9 +5 -9 -5
25,0,S2,5,-6
25,0,S2,6,+7 -7
25,0,S2,7,-8
25,0,S2,8,+10 -10
25,0,S2,9,-11 +13 -13
26,0,S1,0,+1 -1
26,0,S1,1,-7 -10
26,0,S1,2,-12
26,0,S1,3,-4 +2 -2
26,0,S1,4,+9 +5 -9 -5
26,0,S1,5,-6
26,0,S1,6,-8
26,0,S1,7,-11
26,0,S1,8,+13 -13
26,0,S1,9,
26,0,S2,0,+1 -1
26,0,S2,1,+2 -2
26,0,S2,2,-12
26,0,S2,3,-4
26,0,S2,4,+9 +5 -9 -5
26,0,S2,5,-6
26,0,S2,6,+7 -7
26,0,S2,7,-8
26,0,S2,8,+10 -10
26,0,S2,9,-11 +13 -13
27,0,S1,0,+1 -1
27,0,S1,1,-7 -10
27,0,S1,2,-12
27,0,S1,3,-4 +2 -2
27,0,S1,4,+9 +5 -9 -5
27,0,S1,5,-6 +14 -14
27,0,S1,6,-8
27,0,S1,7,-11
27,0,S1,8,+13 -13
27,0,S1,9,
