Time,S1_SumDelay,S1_TailSumDelay,S2_SumDelay,S2_TailSumDelay,S1_Throughput,S1_Queue,S2_Throughput,S2_Queue,Seed
0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,0.0,0.0,0.0,0.0,0,1,0,1,0
2,0.0,0.0,0.0,0.0,0,1,0,1,0
3,0.0,0.0,0.0,0.0,0,2,0,2,0
4,0.0,0.0,0.0,0.0,0,2,0,2,0
5,0.0,0.0,0.0,0.0,0,3,0,3,0
6,0.0,0.0,0.0,0.0,0,3,0,3,0
7,0.0,0.0,0.0,0.0,0,4,0,4,0
8,0.0,0.0,0.0,0.0,0,4,0,4,0
9,0.0,0.0,0.0,0.0,0,4,0,4,0
10,0.0,0.0,0.0,0.0,0,4,0,4,0
11,0.0,0.0,0.0,0.0,0,3,0,3,0
12,0.0,0.0,0.0,0.0,0,3,0,3,0
13,0.0,0.0,0.0,0.0,0,4,0,4,0
14,0.0,0.0,0.0,0.0,0,3,0,3,0
15,0.0,0.0,0.0,0.0,0,4,0,4,0
16,0.0,0.0,0.0,0.0,0,3,0,3,0
17,0.0,0.0,0.0,0.0,0,3,0,3,0
18,0.0,0.0,0.0,0.0,0,3,0,3,0
19,0.0,0.0,0.0,0.0,0,4,0,4,0
20,2.3291969099850967,2.3291969099850967,2.3291969099850967,2.3291969099850967,1,4,1,4,0
21,2.3291969099850967,2.3291969099850967,2.3291969099850967,2.3291969099850967,1,5,1,5,0
22,2.8901157083389144,2.3291969099850967,2.8901157083389144,2.3291969099850967,2,5,2,5,0
23,2.8901157083389144,2.3291969099850967,2.8901157083389144,2.3291969099850967,2,6,2,6,0
24,2.8901157083389144,2.3291969099850967,2.8901157083389144,2.3291969099850967,2,6,2,6,0
25,2.8901157083389144,2.3291969099850967,2.8901157083389144,2.3291969099850967,2,7,2,7,0
26,2.8901157083389144,2.3291969099850967,2.8901157083389144,2.3291969099850967,2,7,2,7,0
27,2.8901157083389144,2.3291969099850967,2.8901157083389144,2.3291969099850967,2,6,2,5,0
28,2.8901157083389144,2.3291969099850967,2.8901157083389144,2.3291969099850967,2,6,2,5,0
29,6.112086380815331,3.221970672476417,6.112086380815331,3.221970672476417,3,6,3,5,0
30,6.112086380815331,3.221970672476417,6.112086380815331,3.221970672476417,3,5,3,5,0
31,6.112086380815331,3.221970672476417,6.112086380815331,3.221970672476417,3,5,3,5,0
32,6.5341068083974,3.221970672476417,6.5341068083974,3.221970672476417,4,4,4,4,0
33,6.5341068083974,3.221970672476417,6.5341068083974,3.221970672476417,4,4,4,4,0
34,6.881510075957205,3.221970672476417,6.881510075957205,3.221970672476417,5,4,5,4,0
35,6.881510075957205,3.221970672476417,6.881510075957205,3.221970672476417,5,4,5,5,0
36,6.881510075957205,3.221970672476417,6.881510075957205,3.221970672476417,5,4,5,4,0
37,6.881510075957205,3.221970672476417,6.881510075957205,3.221970672476417,5,5,5,5,0
38,11.205988576430098,4.3244785004728925,11.205988576430098,4.3244785004728925,6,5,6,5,0
39,11.205988576430098,4.3244785004728925,11.205988576430098,4.3244785004728925,6,5,6,5,0
40,17.588331424253294,10.706821348296089,17.588331424253294,10.706821348296089,7,5,7,5,0
41,17.588331424253294,10.706821348296089,24.428537636064338,13.22254905963424,7,6,8,6,0
42,21.838074796808872,10.706821348296089,28.67828100861992,13.22254905963424,8,6,9,6,0
43,30.704607182511182,15.24887523352551,28.67828100861992,13.22254905963424,9,7,9,7,0
44,30.704607182511182,15.24887523352551,33.2144488427583,17.758716893772622,9,7,10,7,0
45,36.28827425339864,20.832542304412968,33.2144488427583,17.758716893772622,10,6,10,6,0
46,36.28827425339864,20.832542304412968,33.2144488427583,17.758716893772622,10,5,10,5,0
47,36.28827425339864,20.832542304412968,33.2144488427583,17.758716893772622,10,4,10,4,0
48,36.28827425339864,20.832542304412968,33.2144488427583,17.758716893772622,10,3,10,4,0
49,36.28827425339864,20.832542304412968,33.2144488427583,17.758716893772622,10,3,10,4,0
50,37.9121763848853,20.832542304412968,34.83835097424496,17.758716893772622,11,3,11,3,0
51,40.25946076657178,20.832542304412968,37.18563535593144,17.758716893772622,12,4,12,4,0
52,45.32362591742866,20.832542304412968,37.18563535593144,17.758716893772622,13,4,12,4,0
53,45.32362591742866,20.832542304412968,37.18563535593144,17.758716893772622,13,5,12,5,0
54,60.41495911257305,35.26193694677404,59.78892547400184,35.26245350108038,15,4,15,4,0
55,60.41495911257305,35.26193694677404,59.78892547400184,35.26245350108038,15,4,15,4,0
56,60.41495911257305,35.26193694677404,60.08554260260816,35.26245350108038,15,4,16,4,0
57,60.9946416945961,35.26193694677404,60.08554260260816,35.26245350108038,16,4,16,3,0
58,60.9946416945961,35.26193694677404,60.08554260260816,35.26245350108038,16,4,16,3,0
59,61.90957883179094,40.32610209763091,60.08554260260816,35.26245350108038,17,5,16,3,0
60,72.1339606942801,44.325032792457655,70.30992446509732,44.325549346764,19,5,18,3,0
61,72.1339606942801,44.325032792457655,70.30992446509732,44.325549346764,19,3,18,4,0
62,72.1339606942801,44.325032792457655,70.30992446509732,44.325549346764,19,3,18,4,0
63,72.1339606942801,44.325032792457655,70.30992446509732,44.325549346764,19,4,18,5,0
64,72.1339606942801,44.325032792457655,70.30992446509732,44.325549346764,19,4,18,5,0
65,72.1339606942801,44.325032792457655,70.30992446509732,44.325549346764,19,4,18,4,0
66,72.2890144562629,49.38919794331453,75.91696859332482,44.325549346764,20,4,19,4,0
67,76.82385740433936,49.38919794331453,80.45181154140128,49.93259347499151,21,5,20,5,0
68,80.84210501225178,49.38919794331453,84.4700591493137,49.93259347499151,22,5,21,4,0
69,80.84210501225178,49.38919794331453,84.4700591493137,49.93259347499151,22,6,21,5,0
70,82.13889008294812,49.38919794331453,85.76684422001004,49.93259347499151,23,6,22,5,0
71,82.13889008294812,49.38919794331453,85.76684422001004,49.93259347499151,23,6,22,6,0
72,82.13889008294812,49.38919794331453,85.76684422001004,49.93259347499151,23,5,22,6,0
73,82.13889008294812,49.38919794331453,92.8966636842732,51.45536881102715,23,5,23,7,0
74,82.13889008294812,49.38919794331453,100.41025250807505,58.96895763482899,23,4,24,7,0
75,82.13889008294812,49.38919794331453,100.41025250807505,58.96895763482899,23,4,24,6,0
76,90.81414354348313,58.06445140384952,109.08550596861,61.26186824754078,24,4,25,5,0
77,90.81414354348313,58.06445140384952,109.08550596861,61.26186824754078,24,5,25,6,0
