Time,S1_SumDelay,S1_TailSumDelay,S2_SumDelay,S2_TailSumDelay,S1_Throughput,S1_Queue,S2_Throughput,S2_Queue,Seed
0,0.0,0.0,0.0,0.0,0,1,0,1,0
1,0.0,0.0,0.0,0.0,0,2,0,2,0
2,0.0,0.0,0.0,0.0,0,3,0,3,0
3,0.0,0.0,0.0,0.0,0,4,0,4,0
4,0.0,0.0,0.0,0.0,0,5,0,5,0
5,0.0,0.0,0.0,0.0,0,6,0,6,0
6,0.0,0.0,0.0,0.0,0,7,0,7,0
7,0.0,0.0,0.0,0.0,0,8,0,8,0
8,0.0,0.0,0.0,0.0,0,9,0,9,0
9,0.0,0.0,0.0,0.0,0,10,0,10,0
10,0.0,0.0,0.0,0.0,0,11,0,11,0
11,0.0,0.0,0.0,0.0,0,12,0,12,0
12,0.0,0.0,0.0,0.0,0,13,0,13,0
13,0.0,0.0,0.0,0.0,0,13,0,13,0
14,0.0,0.0,0.0,0.0,0,12,0,12,0
15,0.0,0.0,0.0,0.0,0,13,0,13,0
16,0.0,0.0,0.0,0.0,0,14,0,14,0
17,0.0,0.0,0.0,0.0,0,13,0,13,0
18,0.0,0.0,0.0,0.0,0,12,0,13,0
19,0.0,0.0,0.0,0.0,0,13,0,12,0
20,0.0,0.0,0.0,0.0,0,14,0,13,0
21,0.0,0.0,0.0,0.0,0,15,0,14,0
22,0.0,0.0,0.0,0.0,0,16,0,14,0
23,2.147947455506745,2.147947455506745,0.0,0.0,1,17,0,14,0
24,2.147947455506745,2.147947455506745,0.0,0.0,1,18,0,15,0
25,2.147947455506745,2.147947455506745,0.0,0.0,1,19,0,12,0
26,2.147947455506745,2.147947455506745,0.0,0.0,1,16,0,13,0
27,2.147947455506745,2.147947455506745,0.0,0.0,1,17,0,14,0
28,2.147947455506745,2.147947455506745,7.108071655608473,7.108071655608473,1,15,1,14,0
29,3.1017361222712445,2.147947455506745,8.061860322372972,7.108071655608473,2,16,2,14,0
30,6.911735433436807,3.809999311165562,11.871859633538534,7.108071655608473,3,16,3,15,0
31,6.911735433436807,3.809999311165562,11.871859633538534,7.108071655608473,3,17,3,16,0
32,6.911735433436807,3.809999311165562,11.871859633538534,7.108071655608473,3,17,3,17,0
33,10.183360554203157,3.809999311165562,15.143484754304884,7.108071655608473,4,16,4,17,0
34,10.183360554203157,3.809999311165562,15.143484754304884,7.108071655608473,4,17,4,15,0
35,10.183360554203157,3.809999311165562,15.143484754304884,7.108071655608473,4,17,4,15,0
