Time,Seed,Demand,Alpha,Scenario,ComputationTime
0,0,demand_1.25x,1.0,S1,0.072653800016269
0,0,demand_1.25x,0.7,S2,0.075861099991016
1,0,demand_1.25x,1.0,S1,0.0863511000061407
1,0,demand_1.25x,0.7,S2,0.099173599970527
2,0,demand_1.25x,1.0,S1,0.1070298999547958
2,0,demand_1.25x,0.7,S2,0.1231315999757498
3,0,demand_1.25x,1.0,S1,0.0962602000217884
3,0,demand_1.25x,0.7,S2,0.0963407000526785
3,0,demand_1.25x,1.0,S1,0.086412200005725
3,0,demand_1.25x,0.7,S2,0.1087407999439165
4,0,demand_1.25x,1.0,S1,0.1172764999791979
4,0,demand_1.25x,0.7,S2,0.133180399890989
5,0,demand_1.25x,1.0,S1,0.1717020000796765
5,0,demand_1.25x,0.7,S2,0.1906958000035956
6,0,demand_1.25x,1.0,S1,0.2477463000686839
6,0,demand_1.25x,0.7,S2,0.2291656999150291
7,0,demand_1.25x,1.0,S1,0.1673179999925196
7,0,demand_1.25x,0.7,S2,0.3172722000163048
7,0,demand_1.25x,1.0,S1,0.2032367000356316
7,0,demand_1.25x,0.7,S2,0.3019889999413863
8,0,demand_1.25x,1.0,S1,0.3483613999560475
8,0,demand_1.25x,0.7,S2,0.4679647999582812
9,0,demand_1.25x,1.0,S1,0.4353410999756306
9,0,demand_1.25x,0.7,S2,0.6466024999972433
10,0,demand_1.25x,1.0,S1,0.4219397000269964
10,0,demand_1.25x,0.7,S2,0.5927365000825375
11,0,demand_1.25x,1.0,S1,0.7743744999170303
11,0,demand_1.25x,0.7,S2,0.9472158000571652
11,0,demand_1.25x,1.0,S1,0.8012374999234453
11,0,demand_1.25x,0.7,S2,0.9967345000477508
12,0,demand_1.25x,1.0,S1,0.7811525000724941
12,0,demand_1.25x,0.7,S2,1.0166980000212789
13,0,demand_1.25x,1.0,S1,1.0084205999737603
13,0,demand_1.25x,0.7,S2,1.0099912999430671
14,0,demand_1.25x,1.0,S1,1.0156931000528855
14,0,demand_1.25x,0.7,S2,1.0041639999253675
15,0,demand_1.25x,1.0,S1,1.00568360008765
15,0,demand_1.25x,0.7,S2,1.0064951999811456
15,0,demand_1.25x,1.0,S1,1.0143282000208274
15,0,demand_1.25x,0.7,S2,1.0093708999920636
16,0,demand_1.25x,1.0,S1,1.0134502000873908
16,0,demand_1.25x,0.7,S2,1.0039645000360906
17,0,demand_1.25x,1.0,S1,1.0060367999831217
17,0,demand_1.25x,0.7,S2,1.0059800999006256
18,0,demand_1.25x,1.0,S1,1.012309799902141
18,0,demand_1.25x,0.7,S2,1.0076068000635132
19,0,demand_1.25x,1.0,S1,1.0049196999752894
19,0,demand_1.25x,0.7,S2,1.0069441000232473
19,0,demand_1.25x,1.0,S1,1.0161709999665618
19,0,demand_1.25x,0.7,S2,1.0302593000233171
20,0,demand_1.25x,1.0,S1,1.0097565000178292
20,0,demand_1.25x,0.7,S2,1.0083395999390632
21,0,demand_1.25x,1.0,S1,1.0441085000056771
21,0,demand_1.25x,0.7,S2,1.0087880999781191
22,0,demand_1.25x,1.0,S1,1.0106390999862924
22,0,demand_1.25x,0.7,S2,1.0045419000089169
23,0,demand_1.25x,1.0,S1,1.0213762000203133
23,0,demand_1.25x,0.7,S2,1.0186792999738827
23,0,demand_1.25x,1.0,S1,1.0439433999126777
23,0,demand_1.25x,0.7,S2,1.0362037000013515
24,0,demand_1.25x,1.0,S1,1.012522800010629
24,0,demand_1.25x,0.7,S2,1.0279967000242325
25,0,demand_1.25x,1.0,S1,1.016687300056219
25,0,demand_1.25x,0.7,S2,1.0299700000323355
26,0,demand_1.25x,1.0,S1,1.0129712999332696
26,0,demand_1.25x,0.7,S2,1.009735699975863
27,0,demand_1.25x,1.0,S1,1.0135069999378177
27,0,demand_1.25x,0.7,S2,1.0644751000218091
27,0,demand_1.25x,1.0,S1,1.020865899976343
27,0,demand_1.25x,0.7,S2,1.0177546000340951
28,0,demand_1.25x,1.0,S1,1.027537000016309
28,0,demand_1.25x,0.7,S2,1.0281859000679106
29,0,demand_1.25x,1.0,S1,1.0205721000675112
29,0,demand_1.25x,0.7,S2,1.0108734000241384
30,0,demand_1.25x,1.0,S1,1.0074262999696657
30,0,demand_1.25x,0.7,S2,1.010275400010869
31,0,demand_1.25x,1.0,S1,1.0196954999119043
31,0,demand_1.25x,0.7,S2,1.0234152000630274
31,0,demand_1.25x,1.0,S1,1.0328204999677837
31,0,demand_1.25x,0.7,S2,1.0082271000137553
32,0,demand_1.25x,1.0,S1,1.02525060006883
32,0,demand_1.25x,0.7,S2,1.016815899987705
33,0,demand_1.25x,1.0,S1,1.017816299921833
33,0,demand_1.25x,0.7,S2,1.0251036999979988
34,0,demand_1.25x,1.0,S1,1.077924199984409
34,0,demand_1.25x,0.7,S2,1.0289743000175804
35,0,demand_1.25x,1.0,S1,1.037980799912475
35,0,demand_1.25x,0.7,S2,1.023882000008598
35,0,demand_1.25x,1.0,S1,1.0125452000647783
35,0,demand_1.25x,0.7,S2,1.04847390006762
36,0,demand_1.25x,1.0,S1,1.0252447000239044
36,0,demand_1.25x,0.7,S2,1.0119284999091178
37,0,demand_1.25x,1.0,S1,1.024133300059475
37,0,demand_1.25x,0.7,S2,1.020983799942769
38,0,demand_1.25x,1.0,S1,1.0157065999228507
38,0,demand_1.25x,0.7,S2,1.0932716999668628
39,0,demand_1.25x,1.0,S1,1.0058955999556929
39,0,demand_1.25x,0.7,S2,1.0089086999651045
39,0,demand_1.25x,1.0,S1,1.009629600099288
39,0,demand_1.25x,0.7,S2,1.0415854000020772
40,0,demand_1.25x,1.0,S1,1.0324926000321284
40,0,demand_1.25x,0.7,S2,1.0417721000267193
41,0,demand_1.25x,1.0,S1,1.022312100045383
41,0,demand_1.25x,0.7,S2,1.021181600051932
42,0,demand_1.25x,1.0,S1,1.0129689999157565
42,0,demand_1.25x,0.7,S2,1.0271137999370694
43,0,demand_1.25x,1.0,S1,1.0624265000224111
43,0,demand_1.25x,0.7,S2,1.0267542999936268
43,0,demand_1.25x,1.0,S1,1.0107200000202283
43,0,demand_1.25x,0.7,S2,1.0676075000083074
44,0,demand_1.25x,1.0,S1,1.0611572000198066
44,0,demand_1.25x,0.7,S2,1.031395399942994
45,0,demand_1.25x,1.0,S1,1.0238243999192491
45,0,demand_1.25x,0.7,S2,1.0700705000199378
46,0,demand_1.25x,1.0,S1,1.0092541999183595
46,0,demand_1.25x,0.7,S2,1.1517133000306785
47,0,demand_1.25x,1.0,S1,1.0491081000072882
47,0,demand_1.25x,0.7,S2,1.0465413000201806
47,0,demand_1.25x,1.0,S1,1.0302942000562323
47,0,demand_1.25x,0.7,S2,1.0491587000433356
48,0,demand_1.25x,1.0,S1,1.0225919999647886
48,0,demand_1.25x,0.7,S2,1.1429457999765873
49,0,demand_1.25x,1.0,S1,1.215120799955912
49,0,demand_1.25x,0.7,S2,1.0912769000278786
50,0,demand_1.25x,1.0,S1,1.0665922000771388
50,0,demand_1.25x,0.7,S2,1.057634700089693
51,0,demand_1.25x,1.0,S1,1.1172539999242872
51,0,demand_1.25x,0.7,S2,1.0237915000179785
51,0,demand_1.25x,1.0,S1,1.1824534999905154
51,0,demand_1.25x,0.7,S2,1.062255800003186
52,0,demand_1.25x,1.0,S1,1.0427004999946805
52,0,demand_1.25x,0.7,S2,1.0236852000234649
53,0,demand_1.25x,1.0,S1,1.1901244000764564
53,0,demand_1.25x,0.7,S2,1.0591227000113577
54,0,demand_1.25x,1.0,S1,1.052491799928248
54,0,demand_1.25x,0.7,S2,1.0635145000414925
55,0,demand_1.25x,1.0,S1,1.1331648000050336
55,0,demand_1.25x,0.7,S2,1.0579565999796614
55,0,demand_1.25x,1.0,S1,1.054723100038245
55,0,demand_1.25x,0.7,S2,1.0138660999946296
56,0,demand_1.25x,1.0,S1,1.0340877999551594
56,0,demand_1.25x,0.7,S2,1.0431786000262946
57,0,demand_1.25x,1.0,S1,1.0306496999692172
57,0,demand_1.25x,0.7,S2,1.0288767999736592
58,0,demand_1.25x,1.0,S1,1.0289814999559894
58,0,demand_1.25x,0.7,S2,1.017710700049065
59,0,demand_1.25x,1.0,S1,1.0426323000574484
59,0,demand_1.25x,0.7,S2,1.0399034000001848
59,0,demand_1.25x,1.0,S1,1.3333848000038415
59,0,demand_1.25x,0.7,S2,1.2768361000344155
60,0,demand_1.25x,1.0,S1,1.0249920999631286
60,0,demand_1.25x,0.7,S2,1.0485040999483315
61,0,demand_1.25x,1.0,S1,1.0125847000163049
61,0,demand_1.25x,0.7,S2,1.3568115000380203
