Time,S1_SumDelay,S1_TailSumDelay,S2_SumDelay,S2_TailSumDelay,S1_Throughput,S1_Queue,S2_Throughput,S2_Queue,Seed
0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,0.0,0.0,0.0,0.0,0,1,0,1,0
2,0.0,0.0,0.0,0.0,0,2,0,2,0
3,0.0,0.0,0.0,0.0,0,3,0,3,0
4,0.0,0.0,0.0,0.0,0,3,0,3,0
5,0.0,0.0,0.0,0.0,0,4,0,4,0
6,0.0,0.0,0.0,0.0,0,5,0,5,0
7,0.0,0.0,0.0,0.0,0,6,0,6,0
8,0.0,0.0,0.0,0.0,0,5,0,5,0
9,0.0,0.0,0.0,0.0,0,6,0,6,0
10,0.0,0.0,0.0,0.0,0,7,0,7,0
11,0.0,0.0,0.0,0.0,0,6,0,6,0
12,0.0,0.0,0.0,0.0,0,6,0,6,0
13,0.0,0.0,0.0,0.0,0,6,0,6,0
14,0.0,0.0,0.0,0.0,0,7,0,7,0
15,0.0,0.0,0.0,0.0,0,7,0,8,0
16,0.0,0.0,0.0,0.0,0,6,0,7,0
17,0.0,0.0,0.0,0.0,0,7,0,7,0
18,1.1449018858563669,1.1449018858563669,1.1449018858563669,1.1449018858563669,1,8,1,8,0
19,1.3268762742835565,1.1449018858563669,1.3268762742835565,1.1449018858563669,2,7,2,7,0
20,1.3268762742835565,1.1449018858563669,1.5534934028898668,1.1449018858563669,2,6,3,7,0
21,1.3268762742835565,1.1449018858563669,1.5534934028898668,1.1449018858563669,2,6,3,7,0
22,4.097714967813054,2.770838693529498,1.5534934028898668,1.1449018858563669,3,5,3,6,0
23,4.097714967813054,2.770838693529498,1.5534934028898668,1.1449018858563669,3,6,3,7,0
24,8.873007582346983,4.775292614533928,6.328786017423795,4.775292614533928,4,6,4,6,0
25,8.873007582346983,4.775292614533928,6.328786017423795,4.775292614533928,4,6,4,7,0
26,8.873007582346983,4.775292614533928,6.328786017423795,4.775292614533928,4,6,4,8,0
27,8.873007582346983,4.775292614533928,6.328786017423795,4.775292614533928,4,7,4,7,0
28,8.873007582346983,4.775292614533928,6.328786017423795,4.775292614533928,4,7,4,7,0
29,8.873007582346983,4.775292614533928,6.328786017423795,4.775292614533928,4,7,4,8,0
30,12.790437266547588,4.775292614533928,6.328786017423795,4.775292614533928,5,7,4,8,0
31,12.790437266547588,4.775292614533928,6.328786017423795,4.775292614533928,5,8,4,8,0
32,12.75583548114196,4.775292614533928,15.784352493793854,5.749716439455696,6,8,6,7,0
33,14.651190933373003,8.692722298734534,17.781603657157916,10.525009053989624,7,9,8,8,0
34,14.651190933373003,8.692722298734534,17.781603657157916,10.525009053989624,7,10,8,9,0
35,21.124592693442832,10.103810846531903,17.781603657157916,10.525009053989624,9,11,8,10,0
36,28.64196517874369,17.621183331832757,17.781603657157916,10.525009053989624,10,11,8,10,0
37,28.64196517874369,17.621183331832757,17.781603657157916,10.525009053989624,10,11,8,11,0
38,28.64196517874369,17.621183331832757,17.781603657157916,10.525009053989624,10,11,8,10,0
39,29.601730899581156,17.621183331832757,28.86358363693352,19.93205189657039,11,12,10,11,0
40,29.601730899581156,17.621183331832757,33.38742597320175,19.93205189657039,11,11,11,9,0
41,31.826759617504653,17.621183331832757,40.494066746302,22.263400055136717,12,12,12,9,0
42,38.056914486894286,19.076045586688466,40.494066746302,22.263400055136717,13,13,12,10,0
43,38.056914486894286,19.076045586688466,40.494066746302,22.263400055136717,13,13,12,11,0
44,38.056914486894286,19.076045586688466,46.67752979670006,22.69714666607907,13,11,13,10,0
45,38.056914486894286,19.076045586688466,46.67752979670006,22.69714666607907,13,11,13,11,0
46,43.27048694089362,24.2896180406878,46.67752979670006,22.69714666607907,14,11,13,12,0
47,43.27048694089362,24.2896180406878,46.67752979670006,22.69714666607907,14,12,13,11,0
48,43.27048694089362,24.2896180406878,46.67752979670006,22.69714666607907,14,12,13,10,0
49,43.27048694089362,24.2896180406878,60.50232488887619,36.5219417582552,14,12,14,11,0
50,56.01291896435522,31.81847761015006,72.42519853737039,42.26135235635136,15,13,15,11,0
51,56.01291896435522,31.81847761015006,72.42519853737039,42.26135235635136,15,12,15,12,0
52,56.01291896435522,31.81847761015006,72.42519853737039,42.26135235635136,15,12,15,9,0
53,73.05020020318328,43.527240616980144,72.42519853737039,42.26135235635136,16,12,15,8,0
54,83.9158010094114,54.39284142320826,72.42519853737039,42.26135235635136,17,13,15,8,0
55,89.92948582995751,54.39284142320826,72.42519853737039,42.26135235635136,18,12,15,9,0
56,89.92948582995751,54.39284142320826,86.79354563018293,49.52305867606365,18,12,16,8,0
57,89.92948582995751,54.39284142320826,101.358457313163,64.08797035904371,18,12,17,7,0
58,89.92948582995751,54.39284142320826,101.358457313163,64.08797035904371,18,12,17,7,0
59,89.92948582995751,54.39284142320826,126.68861177304277,73.15002994065472,18,13,19,8,0
60,124.87654127757808,75.59236951613835,135.53397943806715,82.55707278323548,21,11,20,8,0
61,124.87654127757808,75.59236951613835,135.53397943806715,82.55707278323548,21,11,20,9,0
62,124.87654127757808,75.59236951613835,135.53397943806715,82.55707278323548,21,12,20,10,0
63,124.87654127757808,75.59236951613835,141.8628619570684,82.55707278323548,21,13,21,11,0
64,124.87654127757808,75.59236951613835,159.94561838573637,91.23278636932272,21,11,22,10,0
65,146.3535621972131,79.92981013835106,159.94561838573637,91.23278636932272,23,11,22,11,0
66,168.28683281968625,101.8630807608242,195.01418258390743,114.37847691899955,24,12,24,11,0
67,168.28683281968625,101.8630807608242,195.01418258390743,114.37847691899955,24,13,24,12,0
68,168.28683281968625,101.8630807608242,210.57965656318729,116.1191558061032,24,12,25,11,0
69,168.28683281968625,101.8630807608242,210.57965656318729,116.1191558061032,24,11,25,12,0
70,168.28683281968625,101.8630807608242,210.57965656318729,116.1191558061032,24,12,25,13,0
71,168.28683281968625,101.8630807608242,229.46840796362443,120.63956011372784,24,12,26,12,0
72,180.61662376985657,105.3803423906053,229.46840796362443,120.63956011372784,25,10,26,12,0
73,184.02172083519145,105.3803423906053,241.0345674278865,135.0079072065404,26,11,28,12,0
74,184.02172083519145,105.3803423906053,255.5220593494827,135.12705203532403,26,11,29,13,0
75,190.12150123471088,114.19287171099454,264.4873452688104,149.49539912813657,27,11,30,14,0
76,212.87531090437795,128.1341520602724,268.88873182330656,149.49539912813657,28,11,31,13,0
