Time,S1_SumDelay,S1_TailSumDelay,S2_SumDelay,S2_TailSumDelay,S1_Throughput,S1_Queue,S2_Throughput,S2_Queue,Seed
0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,0.0,0.0,0.0,0.0,0,1,0,1,0
2,0.0,0.0,0.0,0.0,0,2,0,2,0
3,0.0,0.0,0.0,0.0,0,3,0,3,0
4,0.0,0.0,0.0,0.0,0,3,0,3,0
5,0.0,0.0,0.0,0.0,0,4,0,4,0
6,0.0,0.0,0.0,0.0,0,5,0,5,0
7,0.0,0.0,0.0,0.0,0,6,0,6,0
8,0.0,0.0,0.0,0.0,0,6,0,6,0
9,0.0,0.0,0.0,0.0,0,7,0,7,0
10,0.0,0.0,0.0,0.0,0,8,0,8,0
11,0.0,0.0,0.0,0.0,0,8,0,8,0
12,0.0,0.0,0.0,0.0,0,8,0,8,0
13,0.0,0.0,0.0,0.0,0,9,0,9,0
14,0.0795632339124097,0.0795632339124097,0.0795632339124097,0.0795632339124097,1,10,1,10,0
15,0.0795632339124097,0.0795632339124097,0.0795632339124097,0.0795632339124097,1,11,1,11,0
16,0.0795632339124097,0.0795632339124097,0.0795632339124097,0.0795632339124097,1,11,1,11,0
17,0.0795632339124097,0.0795632339124097,0.0795632339124097,0.0795632339124097,1,11,1,11,0
18,0.0795632339124097,0.0795632339124097,0.0795632339124097,0.0795632339124097,1,10,1,10,0
19,0.0795632339124097,0.0795632339124097,0.0795632339124097,0.0795632339124097,1,10,1,10,0
20,0.0795632339124097,0.0795632339124097,0.0795632339124097,0.0795632339124097,1,9,1,9,0
21,0.0795632339124097,0.0795632339124097,0.0795632339124097,0.0795632339124097,1,9,1,10,0
22,0.0795632339124097,0.0795632339124097,2.524049666750116,2.4444864328377065,1,10,2,10,0
23,2.8993549248190758,2.8197916909066656,2.524049666750116,2.4444864328377065,2,10,2,7,0
24,2.8993549248190758,2.8197916909066656,2.524049666750116,2.4444864328377065,2,9,2,7,0
25,2.8993549248190758,2.8197916909066656,2.524049666750116,2.4444864328377065,2,10,2,7,0
26,2.8993549248190758,2.8197916909066656,2.524049666750116,2.4444864328377065,2,9,2,7,0
27,2.8993549248190758,2.8197916909066656,2.524049666750116,2.4444864328377065,2,9,2,8,0
28,2.8993549248190758,2.8197916909066656,2.524049666750116,2.4444864328377065,2,8,2,8,0
29,2.8993549248190758,2.8197916909066656,2.524049666750116,2.4444864328377065,2,8,2,8,0
30,2.8993549248190758,2.8197916909066656,2.524049666750116,2.4444864328377065,2,7,2,8,0
31,2.8993549248190758,2.8197916909066656,2.524049666750116,2.4444864328377065,2,8,2,9,0
32,2.8993549248190758,2.8197916909066656,6.907305931578019,3.563733630231784,2,8,4,9,0
33,2.8993549248190758,2.8197916909066656,6.907305931578019,3.563733630231784,2,9,4,7,0
34,2.8993549248190758,2.8197916909066656,6.907305931578019,3.563733630231784,2,8,4,8,0
35,6.529656170205772,3.630301245386697,6.907305931578019,3.563733630231784,3,9,4,9,0
36,9.605953216124622,3.630301245386697,9.95887424221453,3.563733630231784,4,7,5,7,0
37,17.720523220355638,8.114570004231016,15.678341480556409,5.719467238341878,5,8,6,8,0
38,24.54004585495176,8.114570004231016,15.678341480556409,5.719467238341878,6,9,6,8,0
39,24.54004585495176,8.114570004231016,15.866792147112118,9.283200868573662,6,10,7,9,0
40,24.54004585495176,8.114570004231016,15.866792147112118,9.283200868573662,6,9,7,8,0
41,24.54004585495176,8.114570004231016,15.866792147112118,9.283200868573662,6,9,7,6,0
42,29.843237154174854,14.934092638827137,21.16998344633522,11.02265853756498,7,10,8,7,0
43,29.843237154174854,14.934092638827137,21.16998344633522,11.02265853756498,7,11,8,8,0
44,29.843237154174854,14.934092638827137,21.16998344633522,11.02265853756498,7,11,8,8,0
45,33.916539055167235,14.934092638827137,27.376249468351592,11.92573326035825,8,11,9,9,0
46,33.916539055167235,14.934092638827137,27.376249468351592,11.92573326035825,8,11,9,10,0
47,33.916539055167235,14.934092638827137,27.376249468351592,11.92573326035825,8,12,9,11,0
48,43.47571246685888,17.67374341592266,27.376249468351592,11.92573326035825,9,11,9,11,0
49,52.518303675316034,25.071491696900534,34.77399774932947,19.32348154133612,11,10,10,11,0
50,63.91203402107352,29.067473761680144,34.77399774932947,19.32348154133612,12,10,10,11,0
51,63.91203402107352,29.067473761680144,34.77399774932947,19.32348154133612,12,10,10,12,0
52,63.91203402107352,29.067473761680144,34.77399774932947,19.32348154133612,12,10,10,12,0
53,63.91203402107352,29.067473761680144,34.77399774932947,19.32348154133612,12,11,10,13,0
54,63.91203402107352,29.067473761680144,41.64321420174109,20.473230755405865,12,12,11,13,0
55,66.67021853078538,29.067473761680144,41.64321420174109,20.473230755405865,13,13,11,14,0
56,87.78205999337501,42.3126734843798,62.57098943619138,28.325523515428173,15,13,13,14,0
57,87.78205999337501,42.3126734843798,62.57098943619138,28.325523515428173,15,14,13,15,0
58,87.78205999337501,42.3126734843798,81.48457733590635,47.23911141514314,15,15,14,16,0
59,88.79770602776428,42.3126734843798,85.69977163040802,47.23911141514314,16,16,16,17,0
60,88.79770602776428,42.3126734843798,92.0907978995056,54.10832786755476,16,15,17,15,0
61,96.42558377515424,50.179315224269786,92.0907978995056,54.10832786755476,17,15,17,16,0
62,96.42558377515424,50.179315224269786,92.0907978995056,54.10832786755476,17,15,17,17,0
63,96.42558377515424,50.179315224269786,92.0907978995056,54.10832786755476,17,15,17,15,0
64,102.79584980856852,50.179315224269786,104.38142482493346,59.52973834057102,18,15,18,15,0
65,104.30409524042892,50.179315224269786,104.38142482493346,59.52973834057102,19,16,18,15,0
66,104.30409524042892,50.179315224269786,116.05562390517812,63.8061891398378,19,17,19,16,0
67,104.30409524042892,50.179315224269786,116.05562390517812,63.8061891398378,19,16,19,16,0
68,104.30409524042892,50.179315224269786,116.05562390517812,63.8061891398378,19,16,19,16,0
69,104.30409524042892,50.179315224269786,153.07535995625386,93.1433496791629,19,16,21,16,0
70,104.30409524042892,50.179315224269786,153.07535995625386,93.1433496791629,19,16,21,16,0
71,104.30409524042892,50.179315224269786,153.07535995625386,93.1433496791629,19,17,21,17,0
72,104.30409524042892,50.179315224269786,153.07535995625386,93.1433496791629,19,17,21,17,0
73,104.30409524042892,50.179315224269786,155.32443807985322,93.1433496791629,19,16,22,17,0
74,104.30409524042892,50.179315224269786,181.4116791518325,112.34648796646374,19,17,24,16,0
