Demand,Scenario,Seed,Alpha,Avg_Delay,Gini_Delay,Tail_Delay,Avg_Detour,Total_VKT
demand_0.5x,S1,0,,9.7501068410049,0.5030098835803076,21.382127045418898,1.204299256680656,599.057946870782
demand_0.5x,S2,0,1.0,12.053622030442105,0.3716426870152236,21.179455208286893,1.2390690190910894,659.4513023286523
demand_0.5x,S1,1,,10.879357242638084,0.5262911473120302,24.68810285198336,1.2137750712410604,563.1032239863963
demand_0.5x,S2,1,1.0,12.906923915671028,0.3041136368386434,20.60715563225316,1.2955534735397494,608.9592760872627
demand_0.5x,S1,2,,12.038585023061374,0.4722660790081348,25.105557830054547,1.1994940109433907,620.7853032450564
demand_0.5x,S2,2,1.0,10.135699403844646,0.3320914767984282,17.32220763498902,1.201752974553325,622.4978117822709
demand_0.5x,S1,3,,10.903367239911056,0.4637352466993978,22.25391585628075,1.191976283824441,640.6961257071742
demand_0.5x,S2,3,1.0,12.128454977837247,0.2871206213803801,19.11491906147051,1.2449207773091906,657.9316093416675
demand_0.5x,S1,4,,11.25155996181024,0.426341225972356,22.1510003720063,1.1640195472426869,627.8987142184063
demand_0.5x,S2,4,1.0,12.961414728229796,0.3357605082303794,22.51045565334207,1.2645913436607783,645.7405069703614
demand_0.5x,S1,5,,10.729438541882296,0.4580455460722115,22.178150991177333,1.175251144179135,615.8792329343058
demand_0.5x,S2,5,1.0,10.42656515766098,0.3938596843234903,19.22200205663904,1.1932345647767106,643.5388313017744
demand_0.5x,S1,6,,10.38036772230575,0.4370865476710099,20.568678592386327,1.276271535882269,597.2417993274264
demand_0.5x,S2,6,1.0,14.507451856682756,0.3024953260721541,22.928774340322075,1.3768791616917553,638.6651523291906
demand_0.5x,S1,7,,10.006053996504368,0.5000596395449317,21.875688896866286,1.1831514616263294,615.3906975109286
demand_0.5x,S2,7,1.0,7.722054452069512,0.4522394399795637,16.294863049653877,1.2224522651933831,609.137469127093
demand_0.5x,S1,8,,10.891276072219176,0.4746844247156179,23.16658567088396,1.2043777224770122,645.9700582103321
demand_0.5x,S2,8,1.0,11.048390765990588,0.3519126537423496,19.08601769740357,1.283001271809036,646.7135670009175
demand_0.5x,S1,9,,10.282907839527422,0.5240837210869314,23.07186508136093,1.182427351521791,622.2217108576762
demand_0.5x,S2,9,1.0,14.293578174199942,0.3083148000338389,22.88216490377236,1.3442891233785244,656.3088387732466
demand_0.5x,S1,10,,12.807304038196897,0.5606586946560645,30.888342843034,1.2473547052033154,633.6582444878793
demand_0.5x,S2,10,1.0,15.243662943304232,0.3186072626925025,24.619120859156144,1.3069943682562086,654.6227923412372
demand_0.5x,S1,11,,10.069703536605088,0.5484256386538009,22.959338575856016,1.1901210294526925,639.2060596036074
demand_0.5x,S2,11,1.0,12.802238383540107,0.37278597819807,23.16946340883954,1.259139949415482,688.0038966501963
demand_0.5x,S1,12,,10.255829338639607,0.5042078952535762,22.420698174597664,1.189369652038875,623.1796941654316
demand_0.5x,S2,12,1.0,11.07047729675102,0.3438436516062313,18.67868503548002,1.218757496831177,670.9309661794986
demand_0.5x,S1,13,,9.883905563442388,0.4923198225433294,21.814870777828247,1.1604287127277118,611.9600972682096
demand_0.5x,S2,13,1.0,10.930639199254694,0.4280441889768296,22.171783540478742,1.2521256328506694,652.0177596897014
demand_0.5x,S1,14,,13.398839628110656,0.4693881170703537,28.3742419888654,1.226175865481128,674.0350109165902
demand_0.5x,S2,14,1.0,11.291306429907936,0.3089570090486819,18.465375159788383,1.3678684316583776,662.8046585633239
demand_0.5x,S1,15,,9.64056439017514,0.535460254914023,22.513292123936267,1.2172091899599222,640.6920509842679
demand_0.5x,S2,15,1.0,10.834982517360856,0.4181262081124144,20.866949584204487,1.2749095774970605,645.8664192371364
demand_0.5x,S1,16,,14.115850991246145,0.4626653659958268,29.721914992571826,1.1917781170419486,663.306835659514
demand_0.5x,S2,16,1.0,14.260016881443429,0.3130234726952519,23.720665690310828,1.2662294434157453,690.2447109887664
demand_0.5x,S1,17,,9.525216652779818,0.5018549430945536,20.645763429476784,1.144378778396123,604.3667017165734
demand_0.5x,S2,17,1.0,10.93533842710378,0.2624193033821216,16.492564703391306,1.2472550245357297,621.990406969904
demand_0.5x,S1,18,,12.961811354764473,0.4585395675206039,26.93934668528032,1.3141899332014977,625.0363894004377
demand_0.5x,S2,18,1.0,17.522791906085118,0.2791402187240066,27.009380451299016,1.546825795562186,693.6523074595848
demand_0.5x,S1,19,,12.455683824862426,0.4631657661054602,25.82110175395542,1.1682127733259338,646.8936282465255
demand_0.5x,S2,19,1.0,8.99511897030054,0.3528533999023764,15.529540662769527,1.2266579475461448,637.3648217843828
demand_0.5x,S1,20,,11.729068942355868,0.5104995071743299,26.369057036449234,1.2577820543502969,595.9177938206371
demand_0.5x,S2,20,1.0,12.78512256754601,0.3334708281184622,21.50602954148297,1.350581168247199,677.2435253245787
demand_0.5x,S1,21,,8.585524232230716,0.4832276091910261,18.364541945780008,1.1918387909314356,615.3085196305237
demand_0.5x,S2,21,1.0,10.50584885554343,0.4058724449739914,20.03809606110829,1.2042394047484886,650.7217371473083
demand_0.5x,S1,22,,9.520614977363593,0.5170883363953025,21.61366813289709,1.2112154232914818,594.1733175902863
demand_0.5x,S2,22,1.0,11.319836836876416,0.3325999035322875,18.956907761170523,1.2802561117429532,612.0749594620867
demand_0.5x,S1,23,,13.085129079786295,0.5367731715371349,30.09939721118576,1.2264553713146598,576.261282342571
demand_0.5x,S2,23,1.0,12.364249431586254,0.3048047242084017,20.03201673653323,1.286713324396495,613.496957287599
